Time,Susceptible,Infectious,Removed
0,997,3,0
1,952,48,0
2,909,90,1
3,861,135,4
4,826,167,7
5,801,188,11
6,766,218,16
7,735,239,26
8,697,268,35
9,675,283,42
10,659,292,49
11,637,299,64
12,615,313,72
13,592,322,86
14,564,338,98
15,539,355,106
16,515,364,121
17,492,369,139
18,472,379,149
19,459,375,166
20,440,385,175
21,415,399,186
22,394,404,202
23,378,403,219
24,359,408,233
25,347,403,250
26,333,401,266
27,316,405,279
28,304,397,299
29,291,394,315
30,276,400,324
31,268,397,335
32,252,402,346
33,240,398,362
34,231,396,373
35,221,392,387
36,214,388,398
37,205,387,408
38,198,379,423
39,191,370,439
40,188,362,450
41,180,359,461
42,171,358,471
43,165,349,486
44,155,348,497
45,148,345,507
46,146,337,517
47,133,336,531
48,127,327,546
49,125,318,557
50,120,309,571
51,116,305,579
52,112,296,592
53,110,287,603
54,103,288,609
55,100,285,615
56,98,274,628
57,97,267,636
58,95,262,643
59,90,259,651
60,89,251,660
61,85,244,671
62,81,239,680
63,78,235,687
64,77,226,697
65,73,218,709
66,72,210,718
67,69,207,724
68,63,208,729
69,62,200,738
70,60,192,748
71,59,189,752
72,58,185,757
73,56,177,767
74,55,173,772
75,53,167,780
76,52,158,790
77,48,151,801
78,46,148,806
79,43,146,811
80,42,140,818
81,40,141,819
82,39,135,826
83,38,128,834
84,38,127,835
85,37,124,839
86,35,118,847
87,33,118,849
88,31,115,854
89,29,114,857
90,29,108,863
91,26,106,868
92,25,105,870
93,25,100,875
94,24,98,878
95,22,98,880
96,21,93,886
97,21,92,887
98,21,90,889
99,19,91,890
100,17,90,893
