Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,4.607859233063394E-19,0.0,0.0,3.000000000000009E-4,0.0
0.0,0.0,2.1666666666666664E-5,2.595067436503338E-5,2.1586389744981E-5,1.0,3.325000000000006E-4,0.0
2.0395397084200658E-5,1.8333333333333333E-5,3.1666666666666646E-5,3.899563722036378E-5,2.498610725094157E-5,2.0,3.591666666666672E-4,0.0
2.411992606401052E-5,2.7499999999999984E-5,4.7500000000000016E-5,5.4746892352189476E-5,3.093171242161248E-5,3.0,3.866666666666671E-4,0.0
2.8565227501671048E-5,4.166666666666667E-5,6.16666666666667E-5,6.258189079562516E-5,3.36547008438478E-5,4.0,4.1583333333333386E-4,0.0
3.220755173695897E-5,5.416666666666668E-5,8.583333333333331E-5,6.939720615573961E-5,3.9420718607802596E-5,5.0,4.4166666666666687E-4,0.0
3.696610684878184E-5,6.916666666666668E-5,9.666666666666663E-5,7.774490872933955E-5,3.9756201472921866E-5,6.0,4.6250000000000024E-4,0.0
3.74165738677394E-5,7.999999999999997E-5,1.0749999999999997E-4,8.731726951500236E-5,4.337938258358844E-5,7.0,4.816666666666669E-4,0.0
4.091827899063641E-5,8.83333333333333E-5,1.2333333333333329E-4,9.865413771803433E-5,4.861984048604941E-5,8.0,5.083333333333336E-4,0.0
4.232808366400099E-5,9.999999999999998E-5,1.399999999999999E-4,1.0402991022884823E-4,5.338539126015656E-5,9.0,5.26666666666667E-4,0.0
4.712387634970432E-5,1.1416666666666662E-4,1.4916666666666656E-4,1.0877394372428228E-4,5.514973305062823E-5,10.0,5.475000000000004E-4,0.0
4.813176359397888E-5,1.1999999999999996E-4,1.599999999999999E-4,1.1180029318188551E-4,5.715476066494083E-5,11.0,5.683333333333337E-4,0.0
5.007633062524539E-5,1.2833333333333327E-4,1.6916666666666656E-4,1.1942498226455341E-4,5.6934111528639454E-5,12.0,5.858333333333335E-4,0.0
5.03873881927699E-5,1.3666666666666658E-4,1.8249999999999988E-4,1.255757573472417E-4,5.868791045294874E-5,13.0,5.975000000000003E-4,0.0
5.038738819276991E-5,1.4666666666666655E-4,1.9166666666666656E-4,1.2999399024570327E-4,6.143537706855518E-5,14.0,6.125000000000003E-4,0.0
5.078378732977242E-5,1.5416666666666655E-4,1.983333333333332E-4,1.3778001790293591E-4,6.054727262414238E-5,15.0,6.300000000000005E-4,0.0
