Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.5,0.0,0.0,2.168404344971009E-19,0.0,0.0,0.0,0.4997000000000001,0.0,3.000000000000004E-4,5.551115123125783E-17
1.527777777777778E-5,1.9825142255028054E-5,0.5,0.0,5.8333333333333306E-5,4.073021749615327E-5,1.0,0.0,0.0,0.4996819444444445,3.200477394945254E-5,2.444444444444446E-4,2.0960261489979032E-5
3.055555555555556E-5,2.5872133347496055E-5,0.5,5.1388888888888876E-5,3.194444444444444E-5,4.945692726323571E-5,2.0,3.2267389320802614E-5,0.0,0.49965833333333354,2.984495687075597E-5,2.2777777777777775E-4,3.410563654946479E-5
4.8611111111111095E-5,3.1172744010365895E-5,0.5,7.77777777777778E-5,2.7777777777777786E-5,5.983516452371671E-5,3.0,3.6535962327683064E-5,0.0,0.4996347222222223,2.530675994206748E-5,2.1111111111111103E-4,4.096045028626946E-5
6.111111111111111E-5,3.589679995366692E-5,0.5,1.0277777777777778E-4,3.333333333333333E-5,5.5585929196977165E-5,4.0,4.080119672657884E-5,0.0,0.499626388888889,2.8867513459481276E-5,1.7638888888888885E-4,4.639283915315902E-5
7.361111111111111E-5,3.8181816094142445E-5,0.5,1.3194444444444443E-4,1.388888888888889E-5,6.170403647480404E-5,5.0,4.3161831203500935E-5,0.0,0.4996125000000002,2.2523992694759518E-5,1.6805555555555551E-4,5.769742676718622E-5
8.333333333333333E-5,4.166666666666667E-5,0.5,1.4166666666666665E-4,2.3611111111111117E-5,6.007646876078379E-5,6.0,4.9826086429589146E-5,0.0,0.49960416666666696,2.281120514674562E-5,1.4722222222222217E-4,6.0344784824827675E-5
9.999999999999999E-5,4.249182927993989E-5,0.5,1.5555555555555556E-4,1.388888888888889E-5,5.192568734425034E-5,7.0,5.196746370519361E-5,0.0,0.4995986111111113,1.9194826334840624E-5,1.3194444444444443E-4,6.263488531181185E-5
1.0555555555555551E-4,4.555894296349091E-5,0.5,1.6388888888888887E-4,2.3611111111111117E-5,4.827263110272991E-5,8.0,5.2245119093900085E-5,0.0,0.4995958333333335,2.123456229363981E-5,1.1111111111111112E-4,6.478463252276878E-5
1.1527777777777773E-4,4.382709257080461E-5,0.5,1.805555555555555E-4,1.527777777777778E-5,4.601709793619255E-5,9.0,5.6910559023744087E-5,0.0,0.499590277777778,1.7988658120817528E-5,9.861111111111111E-5,6.829252959705442E-5
1.2361111111111107E-4,4.28928376852285E-5,0.5,1.902777777777777E-4,9.722222222222224E-6,4.709439398107216E-5,10.0,6.0184740026843724E-5,0.0,0.4995888888888891,1.6996164236833936E-5,8.749999999999999E-5,6.99977953797397E-5
1.2916666666666664E-4,4.5975159355653964E-5,0.5,1.930555555555555E-4,1.666666666666667E-5,4.894232401763235E-5,11.0,6.364309603436579E-5,0.0,0.49958472222222233,2.0412414523193162E-5,7.638888888888887E-5,7.343729478562818E-5
1.319444444444444E-4,4.7745265100386384E-5,0.5,2.0277777777777772E-4,1.527777777777778E-5,5.044172165926357E-5,12.0,6.289995485680138E-5,0.0,0.49958055555555575,1.9825142255028057E-5,6.94444444444444E-5,7.575494524051987E-5
1.319444444444444E-4,4.7745265100386384E-5,0.5,2.1249999999999996E-4,9.722222222222224E-6,4.787135538781693E-5,13.0,6.505206248331666E-5,0.0,0.4995791666666668,1.699616423683393E-5,6.666666666666664E-5,7.634784250753023E-5
