Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,8.131516293641283E-20,0.0,0.0,3.0000000000000014E-4,0.0
0.0,0.0,3.240000000000002E-5,2.7203676222157958E-5,2.423963696097776E-5,1.0,3.227999999999997E-4,0.0
2.2032702966272647E-5,2.3200000000000005E-5,5.5199999999999926E-5,4.113441381617103E-5,3.127682848371932E-5,2.0,3.427999999999995E-4,0.0
2.808914381037626E-5,4.199999999999998E-5,6.83999999999999E-5,5.870741009446757E-5,3.5501549261968845E-5,3.0,3.623999999999994E-4,0.0
3.168595903550971E-5,5.1999999999999956E-5,9.159999999999977E-5,6.811783907318254E-5,3.965299484276065E-5,4.0,3.7719999999999936E-4,0.0
3.484881633570928E-5,6.679999999999988E-5,1.0719999999999976E-4,8.335490387493711E-5,4.250929310162658E-5,5.0,3.9719999999999946E-4,0.0
3.756008519692145E-5,7.639999999999985E-5,1.1999999999999969E-4,1.0827077167915622E-4,4.312771730569571E-5,6.0,4.175999999999992E-4,0.0
3.9812058474788784E-5,8.999999999999979E-5,1.287999999999998E-4,1.2451521995322516E-4,4.7038707465235496E-5,7.0,4.371999999999993E-4,0.0
4.277803174527789E-5,9.959999999999976E-5,1.3999999999999988E-4,1.392811545041182E-4,5.366563145999494E-5,8.0,4.547999999999992E-4,0.0
4.639353403223336E-5,1.0839999999999975E-4,1.5159999999999994E-4,1.5832321371169798E-4,5.571678382677885E-5,9.0,4.7519999999999914E-4,0.0
4.6720017123284534E-5,1.1639999999999969E-4,1.6279999999999995E-4,1.780723448489405E-4,6.135177259052906E-5,10.0,4.935999999999993E-4,0.0
5.220881151683114E-5,1.2639999999999974E-4,1.7239999999999996E-4,1.947322264033356E-4,6.617824415924016E-5,11.0,5.087999999999991E-4,0.0
5.417047166122878E-5,1.3319999999999985E-4,1.8279999999999997E-4,2.1879862888053006E-4,7.180557081452662E-5,12.0,5.307999999999989E-4,0.0
5.718881009428335E-5,1.423999999999999E-4,1.9239999999999996E-4,2.385044234390631E-4,7.453562906422672E-5,13.0,5.515999999999992E-4,0.0
5.851803140913071E-5,1.4839999999999998E-4,2.0480000000000004E-4,2.6004030456834956E-4,8.564017748697153E-5,14.0,5.703999999999991E-4,0.0
6.148300578208592E-5,1.5439999999999999E-4,2.1200000000000008E-4,2.802373279918291E-4,8.912911982062875E-5,15.0,5.89599999999999E-4,0.0
6.566094729746134E-5,1.616E-4,2.2000000000000006E-4,3.121522705347503E-4,9.818350166906849E-5,16.0,6.127999999999992E-4,0.0
7.165500680343282E-5,1.6680000000000004E-4,2.3120000000000006E-4,3.3933399476032445E-4,1.0457839164951817E-4,17.0,6.323999999999993E-4,0.0
7.213875518748565E-5,1.720000000000001E-4,2.3920000000000001E-4,3.6486249464695597E-4,1.1124675276159755E-4,18.0,6.511999999999991E-4,0.0
7.658616062971174E-5,1.768000000000001E-4,2.4720000000000005E-4,3.964500472947376E-4,1.1992931251366373E-4,19.0,6.711999999999989E-4,0.0
8.591996275604413E-5,1.8480000000000005E-4,2.5600000000000004E-4,4.212516587504441E-4,1.3105723940324692E-4,20.0,6.895999999999993E-4,0.0
9.323282683690332E-5,1.916E-4,2.6240000000000014E-4,4.488465662116624E-4,1.3937919500413244E-4,21.0,7.051999999999993E-4,0.0
9.656686802418317E-5,1.9560000000000004E-4,2.724E-4,4.755786370307232E-4,1.504644808584404E-4,22.0,7.271999999999991E-4,0.0
1.020752663479259E-4,2.0160000000000016E-4,2.780000000000001E-4,5.059394825470731E-4,1.580158219926093E-4,23.0,7.435999999999992E-4,0.0
1.0997981633008845E-4,2.076000000000001E-4,2.864000000000001E-4,5.317882661360625E-4,1.6749256699925526E-4,24.0,7.63599999999999E-4,0.0
1.1685563743354455E-4,2.148000000000002E-4,2.9680000000000033E-4,5.59358239413705E-4,1.8093490542181204E-4,25.0,7.811999999999993E-4,0.0
1.2334488234215475E-4,2.1960000000000024E-4,3.104000000000004E-4,5.854143489871087E-4,1.9736504249739844E-4,26.0,7.995999999999992E-4,0.0
1.3513311955253612E-4,2.2960000000000021E-4,3.2040000000000036E-4,6.148609273648794E-4,2.1134322794922955E-4,27.0,8.195999999999992E-4,0.0
1.4655633729047674E-4,2.364000000000002E-4,3.2800000000000033E-4,6.408755261359263E-4,2.2424094184604214E-4,28.0,8.367999999999992E-4,0.0
1.5435556355376388E-4,2.4120000000000017E-4,3.364000000000003E-4,6.670250669952374E-4,2.3962211917934455E-4,29.0,8.531999999999993E-4,0.0
1.6131472344457597E-4,2.4680000000000014E-4,3.4400000000000034E-4,6.864813471610139E-4,2.4995199539111534E-4,30.0,8.687999999999992E-4,0.0
1.7158601341601243E-4,2.5360000000000026E-4,3.556000000000005E-4,7.087989841979178E-4,2.6585176320649095E-4,31.0,8.839999999999993E-4,0.0
1.8360653583138054E-4,2.6160000000000034E-4,3.628000000000005E-4,7.30410733765599E-4,2.7419708240606803E-4,32.0,8.991999999999995E-4,0.0
1.8871788468505064E-4,2.6680000000000036E-4,3.716000000000005E-4,7.565009980165256E-4,2.859167011561237E-4,33.0,9.135999999999995E-4,0.0
1.9645905425813305E-4,2.744000000000004E-4,3.8120000000000065E-4,7.831864145910602E-4,3.017310723144036E-4,34.0,9.295999999999994E-4,0.0
2.0623762993207613E-4,2.8040000000000036E-4,3.8800000000000076E-4,8.013669571426055E-4,3.1048993542464454E-4,35.0,9.419999999999996E-4,0.0
2.1769602660590752E-4,2.8760000000000054E-4,4.004000000000007E-4,8.223972033026387E-4,3.2641991360822314E-4,36.0,9.555999999999995E-4,0.0
2.258587169006324E-4,2.9440000000000054E-4,4.084000000000007E-4,8.478702730960674E-4,3.3792360083308805E-4,37.0,9.719999999999997E-4,0.0
2.3630353361725243E-4,3.016000000000006E-4,4.1680000000000054E-4,8.646325462298994E-4,3.5234846388199276E-4,38.0,9.831999999999996E-4,0.0
2.436769172490493E-4,3.068000000000007E-4,4.272000000000006E-4,8.848427882963168E-4,3.68558055128361E-4,39.0,9.963999999999995E-4,0.0
2.5798449565816935E-4,3.1600000000000074E-4,4.3440000000000053E-4,9.015707182467716E-4,3.799528391787592E-4,40.0,0.0010063999999999993,0.0
2.710645679538365E-4,3.240000000000008E-4,4.400000000000006E-4,9.110387258508822E-4,3.882009788756333E-4,41.0,0.0010123999999999995,0.0
2.781516852366706E-4,3.2840000000000094E-4,4.440000000000006E-4,9.257461639131974E-4,3.9440588230907564E-4,42.0,0.0010203999999999992,0.0
2.839499251628707E-4,3.3240000000000103E-4,4.4920000000000073E-4,9.394936721447346E-4,4.040109404459237E-4,43.0,0.0010283999999999996,0.0
2.887836560472213E-4,3.3600000000000096E-4,4.5480000000000075E-4,9.571684073348863E-4,4.1310923494882E-4,44.0,0.0010383999999999997,0.0
2.955334160463078E-4,3.4000000000000095E-4,4.6080000000000074E-4,9.703294492078449E-4,4.245654719828262E-4,45.0,0.0010451999999999996,0.0
3.0215227948834065E-4,3.440000000000011E-4,4.644000000000007E-4,9.854250047568302E-4,4.3145470214148727E-4,46.0,0.0010532000000000004,0.0
3.1123039697304657E-4,3.4840000000000104E-4,4.700000000000007E-4,9.994177504927548E-4,4.412312318954769E-4,47.0,0.0010608000000000004,0.0
3.165185618569627E-4,3.52000000000001E-4,4.756000000000007E-4,0.0010063534369196545,4.492451001402239E-4,48.0,0.0010652000000000003,0.0
3.2408418659354577E-4,3.57600000000001E-4,4.800000000000008E-4,0.0010192914401681201,4.575805939941071E-4,49.0,0.0010728000000000003,0.0
3.281158332052874E-4,3.60000000000001E-4,4.8360000000000086E-4,0.0010280758921402632,4.647609708226369E-4,50.0,0.0010772000000000006,0.0
3.35501773467742E-4,3.63200000000001E-4,4.884000000000007E-4,0.0010356841410391494,4.7188596079985283E-4,51.0,0.0010812000000000005,0.0
3.432497050253652E-4,3.6840000000000104E-4,4.916000000000007E-4,0.0010445256148127727,4.7771577323760126E-4,52.0,0.0010864000000000002,0.0
3.495606385164096E-4,3.7120000000000105E-4,4.948000000000008E-4,0.0010509257823462142,4.8199921161761237E-4,53.0,0.0010900000000000005,0.0
3.540144629813871E-4,3.7520000000000104E-4,4.972000000000008E-4,0.0010562201475071387,4.8749157941445505E-4,54.0,0.0010940000000000006,0.0
3.5828619845034516E-4,3.78000000000001E-4,5.000000000000008E-4,0.0010638226167928547,4.921991466875986E-4,55.0,0.0010976000000000007,0.0
3.6070203769870816E-4,3.79600000000001E-4,5.044000000000008E-4,0.0010697849503521711,4.97840496544827E-4,56.0,0.0011008000000000007,0.0
3.6410026091723694E-4,3.82000000000001E-4,5.084000000000009E-4,0.0010761436521208496,5.038177845213483E-4,57.0,0.0011044000000000004,0.0
3.6748093828115763E-4,3.84800000000001E-4,5.100000000000008E-4,0.0010823472455732494,5.065224575475405E-4,58.0,0.0011076000000000007,0.0
3.692805979197935E-4,3.856000000000011E-4,5.12000000000001E-4,0.0010844947394985367,5.09219009857252E-4,59.0,0.0011092000000000007,0.0
