Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,0.0,3.0,0.0
0.19,0.19615045245933024,0.0,0.0,0.11,0.5765414122159829,1.0,0.0,0.0,2496.18,0.15644487847162028,3.52,0.5214403129793475
0.45,0.28613807855648987,0.0,0.02,0.21,1.481856943162868,2.0,0.06999999999999994,0.0,2494.74,0.2155806113731011,4.58,1.4484819639885063
0.75,0.4264680527307995,0.0,0.02,0.36,3.224298373289916,3.0,0.06999999999999994,0.0,2492.21,0.26944387170614964,6.66,3.3341378195869487
1.09,0.5572028355993895,0.0,0.04,0.52,5.695076821255356,4.0,0.09797958971132702,0.0,2488.73,0.3706750598570127,9.62,6.022397778293959
1.85,0.8347903928532001,0.0,0.09,0.75,9.230920864139177,5.0,0.14309088021254185,0.0,2483.29,0.49180788932265007,14.02,10.038001544132175
2.66,1.2594046212397345,0.0,0.15,1.22,13.222082854074088,6.0,0.19202864369671543,0.0,2476.16,0.7764663547121666,19.81,14.877452738960395
3.88,2.001599360511489,0.0,0.26,1.66,19.107417407907334,7.0,0.2703701166919153,0.0,2466.12,1.1004998864152598,28.08,21.76709443173342
5.56,2.999433279804703,0.0,0.46,2.66,24.953635005746158,8.0,0.4026164427839479,0.0,2452.94,1.8737929448047344,38.38,29.670508927215927
8.21,4.749892104037732,0.0,0.67,3.7,32.77021933097183,9.0,0.519879793798528,0.0,2435.95,2.590849281606323,51.47,40.07969404823345
11.37,6.731884951482757,0.0,1.05,4.81,41.05451741282559,10.0,0.7495832175282474,0.0,2415.85,3.404184924471642,66.92,51.18888429141623
15.55,9.146959877467486,0.0,1.5,6.59,50.26416118866403,11.0,1.1280514172678477,0.0,2390.78,4.360673686484693,85.58,64.10622356682696
20.99,12.133320856220692,0.0,2.11,8.88,59.70034254508092,12.0,1.6060744067445933,0.0,2360.6,5.434280081114699,107.42,78.0030768623905
28.07,16.02829607288311,0.0,2.89,11.76,68.36451473535082,13.0,2.025950394259444,0.0,2324.63,7.153362845543347,132.65,92.44500135215533
36.26,20.360331529717293,0.0,3.97,14.87,77.18043323926086,14.0,2.728969585759432,0.0,2282.67,8.318850581660907,162.23,107.02770797788766
46.64,25.15189058500375,0.0,5.41,18.49,85.20350110177398,15.0,3.48790409845225,0.0,2235.9,9.866229016194586,193.56,121.75047227834477
59.24,30.778898615772466,0.0,7.18,23.18,91.645908119239,16.0,4.384848914158844,0.0,2184.89,11.746356882029424,225.51,136.03763991998687
73.92,36.55917668657215,0.0,9.27,28.05,97.75505856476178,17.0,5.665180932679909,0.0,2129.97,13.218429369633895,258.79,149.9925240637013
90.71,42.68701764002727,0.0,11.73,33.24,102.68036557687161,18.0,6.629047820011558,0.0,2072.81,14.9878484112964,291.51,163.04163110997143
110.15,49.34178629721467,0.0,14.72,38.8,107.23745894042807,19.0,8.017194022848644,0.0,2010.97,16.38886817324491,325.36,175.92871361719213
131.7,55.99100374167263,0.0,18.56,44.83,110.00782460807046,20.0,9.38011727005585,0.0,1948.62,18.00111871523545,356.29,187.33780691574242
156.25,63.25572602539631,0.0,22.71,50.92,111.6866253183433,21.0,10.876418298318615,0.0,1886.15,19.412197196608123,383.97,197.90762207403742
182.47,70.12027007221236,0.0,27.38,58.19,112.32982729444574,22.0,12.72296742116398,0.0,1823.1,20.523120498598647,408.86,207.32600536353365
211.48,77.31417981198533,0.0,32.57,64.32,112.22041648024658,23.0,14.550301543267066,0.0,1759.98,21.29728621209754,431.65,215.5810750042777
241.53,84.4269641465332,0.0,38.6,70.59,110.7038024414699,24.0,16.300000000000004,0.0,1697.43,22.51134103068939,451.85,222.42092139679661
273.08,91.64591316583626,0.0,45.34,76.23,108.47436148694307,25.0,18.0900829185496,0.0,1637.89,22.720019256153815,467.46,227.96963498457418
304.79,97.87370165166945,0.0,52.18,82.69,105.67908721691346,26.0,19.998797463847662,0.0,1579.73,23.218278898316296,480.61,231.95154510155777
338.14,104.17228566178245,0.0,59.6,88.41,102.6423479856146,27.0,21.950284736194195,0.0,1522.41,23.22542733729565,491.44,235.49548928801164
373.77,110.29226752134531,0.0,67.58,93.46,99.3921777606266,28.0,23.73332888576737,0.0,1468.79,23.197566682736362,496.4,237.83591292107255
407.95,115.8988648563911,0.0,76.63,97.99,95.22702806976599,29.0,25.59928270479468,0.0,1419.18,23.27063546618356,498.25,238.8986331061775
443.16,121.3783077819097,0.0,85.67,102.76,91.54101963054596,30.0,27.4955500945153,0.0,1370.28,23.032924260718605,498.13,239.71572831168174
478.88,126.32207408050267,0.0,95.51,105.98,87.62330897084404,31.0,29.38498723838416,0.0,1324.4,22.7200330105394,495.23,238.71002283104917
515.09,130.77471267412523,0.0,106.04,107.99,83.72895795362557,32.0,31.44804604422984,0.0,1281.96,22.05646107153185,488.92,237.3611585748604
550.64,134.32737100085,0.0,116.03,109.83,81.09665282858475,33.0,33.076007543232905,0.0,1241.04,21.553196398678317,482.46,236.07179967120175
587.48,137.84042367897746,0.0,126.0,111.32,78.1277985098774,34.0,34.79259978788593,0.0,1203.98,21.014147615356663,471.22,234.17383478945726
622.94,140.81723651598904,0.0,136.02,112.85,76.06725905407664,35.0,36.16565912575077,0.0,1168.41,20.352687169020207,459.78,231.80165114813147
657.72,143.52447665816447,0.0,146.59,112.4,74.55392327034173,36.0,37.631243335824024,0.0,1136.28,19.60306098546857,447.01,229.6021241190943
691.72,145.7465793766701,0.0,157.18,112.43,73.21198945527978,37.0,38.94042757854618,0.0,1106.95,18.945745564637985,431.72,227.62741898769568
724.26,147.69858868655444,0.0,167.74,111.86,71.77504789270432,38.0,40.414021081797834,0.0,1080.44,18.499191874241426,415.7,225.56819722647077
755.84,149.30029671772257,0.0,178.35,110.2,71.95356905671879,39.0,41.34793676835641,0.0,1055.27,17.847828999629055,400.34,223.52613778929745
786.13,150.8847847697043,0.0,188.73,108.44,71.82597997939186,40.0,42.16775160000827,0.0,1032.82,17.453125794538924,383.88,221.81333796685894
816.73,152.0091585234258,0.0,199.42,105.72,71.4434844824915,41.0,43.267839095568426,0.0,1012.42,16.719910286840662,365.71,220.4902059049335
844.5,152.65640340319825,0.0,209.44,103.15,70.9651999222154,42.0,43.96142172405255,0.0,992.95,16.411181401715112,349.96,219.4490302439269
871.22,153.1033569194353,0.0,219.35,100.09,69.64091380072493,43.0,44.60400066137566,0.0,976.09,16.289428320232727,333.25,218.78418698571434
897.2,153.55878353256122,0.0,228.78,96.66,68.8280168245461,44.0,45.06587289734883,0.0,960.78,15.856421412159806,316.58,218.07647259619733
922.47,153.9838377070789,0.0,237.68,93.93,66.90415140333221,45.0,45.58963039990563,0.0,947.01,15.863047468881884,298.91,217.27416430629756
945.59,154.23924751826303,0.0,246.89,90.55,65.02539888382077,46.0,45.90936151810435,0.0,934.47,15.983018331967212,282.5,216.6324243390172
967.7,154.6142538707217,0.0,255.37,87.5,63.33652500729733,47.0,46.31045535297619,0.0,923.15,15.716631318447346,266.28,215.89275549448158
988.84,154.8624182944332,0.0,263.9,83.6,61.36344575559621,48.0,46.525503758691315,0.0,913.17,15.474172029546525,250.49,215.33177952870776
1007.65,155.23663187211974,0.0,271.88,80.3,59.55594764589008,49.0,46.75009518706887,0.0,903.75,15.253278336147934,236.42,214.54413735872626
1027.22,155.3152532753947,0.0,279.17,76.92,56.898396067024606,50.0,46.93708848022,0.0,895.18,15.13302349168863,221.51,213.7450979554853
1044.5,155.6196565347707,0.0,286.11,74.09,54.794593711423786,51.0,47.262558912949274,0.0,887.4,15.224995073890826,207.9,212.86781109411538
