Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.625,0.0,0.0,4.607859233063394E-19,0.0,0.0,0.0,0.37469999999999953,0.0,3.000000000000009E-4,2.220446049250313E-16
1.3333333333333338E-5,1.9293061504650375E-5,0.625,0.0,6.25E-5,4.657543164945799E-5,1.0,0.0,0.0,0.3746866666666663,4.034357652299391E-5,2.3750000000000014E-4,1.6996731711974056E-5
2.7499999999999987E-5,2.496873044429773E-5,0.625,5.9166666666666664E-5,3.9166666666666665E-5,5.342277656164604E-5,2.0,3.8995637220363825E-5,0.0,0.37467499999999976,3.0479387388127636E-5,1.9916666666666658E-4,2.3496453633116856E-5
4.333333333333333E-5,2.7938424357067036E-5,0.625,9.749999999999997E-5,3.0833333333333315E-5,5.4503758789850644E-5,3.0,4.304188851185164E-5,0.0,0.3746674999999998,2.6454231965583295E-5,1.6083333333333328E-4,2.595067436503054E-5
5.2500000000000016E-5,2.884043746778705E-5,0.625,1.2833333333333327E-4,2.7499999999999994E-5,5.489889697333535E-5,4.0,4.480668352923355E-5,0.0,0.3746583333333332,2.4968730444297725E-5,1.3333333333333329E-4,3.067527053217322E-5
6.583333333333338E-5,3.322639094989936E-5,0.625,1.5166666666666654E-4,2.583333333333333E-5,5.2557838510434276E-5,5.0,4.517712056143267E-5,0.0,0.37465083333333316,2.457627017176438E-5,1.0583333333333325E-4,3.475859206328643E-5
7.333333333333337E-5,3.274480450731416E-5,0.625,1.7499999999999992E-4,2.0833333333333333E-5,4.361885104707214E-5,6.0,4.4837670174382004E-5,0.0,0.3746483333333331,2.226341667898756E-5,8.250000000000001E-5,3.650532685634515E-5
7.666666666666668E-5,3.3993463423951894E-5,0.625,1.958333333333332E-4,1.583333333333334E-5,3.9526274664947735E-5,7.0,4.396771226959874E-5,0.0,0.37464583333333307,1.9360433592481585E-5,6.583333333333334E-5,3.8131260870252305E-5
8.166666666666668E-5,3.817903729651766E-5,0.625,2.1166666666666654E-4,5.833333333333334E-6,3.947573094109003E-5,8.0,4.5727149727729805E-5,0.0,0.3746408333333331,1.1718634258687692E-5,6.0000000000000015E-5,4.004988209165171E-5
8.833333333333332E-5,4.0405926408002215E-5,0.625,2.1583333333333323E-4,1.5000000000000005E-5,3.264923004026624E-5,9.0,4.518288454221968E-5,0.0,0.37463916666666647,1.8984642916490858E-5,4.1666666666666665E-5,3.9945709684794294E-5
9.416666666666663E-5,4.296114200323619E-5,0.625,2.299999999999999E-4,4.166666666666667E-6,2.992757461309254E-5,10.0,4.4999999999999996E-5,0.0,0.3746374999999998,9.991315673568163E-6,3.416666666666665E-5,4.085671099504907E-5
9.499999999999996E-5,4.274439534410717E-5,0.625,2.3416666666666654E-4,3.3333333333333333E-6,2.7984991017011643E-5,11.0,4.5869304066614685E-5,0.0,0.37463666666666645,8.975274678557516E-6,3.083333333333332E-5,4.0790794168396905E-5
9.749999999999996E-5,4.255511132637302E-5,0.625,2.3666666666666657E-4,4.166666666666667E-6,2.520747243709027E-5,12.0,4.5613107278013314E-5,0.0,0.37463666666666645,9.99131567356818E-6,2.4999999999999994E-5,4.0790794168396905E-5
1.0083333333333328E-4,4.3058019642751286E-5,0.625,2.4083333333333324E-4,1.6666666666666667E-6,2.4062274529968177E-5,13.0,4.495174882273462E-5,0.0,0.37463583333333317,6.400954789890516E-6,2.0833333333333333E-5,4.17312000253428E-5
1.0083333333333328E-4,4.3058019642751286E-5,0.625,2.4249999999999993E-4,1.6666666666666667E-6,2.380476142847617E-5,14.0,4.548923865414036E-5,0.0,0.3746349999999998,6.400954789890512E-6,2.0E-5,4.21554662331345E-5
1.0249999999999997E-4,4.304188851185164E-5,0.625,2.4333333333333325E-4,2.5E-6,2.173067468400883E-5,15.0,4.597704741377906E-5,0.0,0.3746349999999998,7.806247497998004E-6,1.666666666666667E-5,4.21554662331345E-5
1.0416666666666663E-4,4.443901876604488E-5,0.625,2.4499999999999994E-4,3.3333333333333333E-6,1.888837826107189E-5,16.0,4.6926360751003605E-5,0.0,0.3746349999999998,8.975274678557509E-6,1.2500000000000004E-5,4.21554662331345E-5
1.0583333333333328E-4,4.4392113288536116E-5,0.625,2.4833333333333326E-4,0.0,1.956115765717583E-5,17.0,4.7864101602581255E-5,0.0,0.3746341666666665,0.0,1.166666666666667E-5,4.207920771856138E-5
1.0666666666666661E-4,4.4596960534198815E-5,0.625,2.4833333333333326E-4,1.6666666666666667E-6,1.8708286933869705E-5,18.0,4.7864101602581255E-5,0.0,0.3746333333333332,6.4009547898905175E-6,1.0000000000000003E-5,4.297932319408737E-5
1.0666666666666661E-4,4.4596960534198815E-5,0.625,2.4999999999999995E-4,2.5E-6,1.4666429922331701E-5,19.0,4.830458915396476E-5,0.0,0.3746333333333332,7.806247497998004E-6,7.500000000000001E-6,4.297932319408737E-5
1.0666666666666661E-4,4.4596960534198815E-5,0.625,2.5249999999999996E-4,8.333333333333333E-7,1.4043582955293929E-5,20.0,4.956582323873308E-5,0.0,0.3746333333333332,4.545296714431534E-6,6.666666666666667E-6,4.297932319408737E-5
1.091666666666666E-4,4.4719418476640456E-5,0.625,2.5333333333333333E-4,8.333333333333333E-7,8.9752746785575E-6,21.0,4.997221450188313E-5,0.0,0.3746333333333332,4.545296714431546E-6,3.3333333333333333E-6,4.297932319408737E-5
1.091666666666666E-4,4.4719418476640456E-5,0.625,2.5416666666666665E-4,0.0,8.9752746785575E-6,22.0,4.995657836784086E-5,0.0,0.3746333333333332,0.0,3.3333333333333333E-6,4.297932319408737E-5
1.0999999999999992E-4,4.444097208657794E-5,0.625,2.5416666666666665E-4,8.333333333333333E-7,1.012937148428602E-5,23.0,4.995657836784086E-5,0.0,0.3746324999999998,4.545296714431546E-6,2.5E-6,4.337938258358365E-5
1.0999999999999992E-4,4.444097208657794E-5,0.625,2.5499999999999996E-4,8.333333333333333E-7,6.4009547898905175E-6,24.0,5.0352921133402635E-5,0.0,0.3746324999999998,4.545296714431531E-6,1.6666666666666667E-6,4.337938258358365E-5
1.0999999999999992E-4,4.444097208657794E-5,0.625,2.5583333333333334E-4,0.0,6.4009547898905175E-6,25.0,5.033050488741615E-5,0.0,0.3746324999999998,0.0,1.6666666666666667E-6,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.5583333333333334E-4,8.333333333333333E-7,0.0,26.0,5.033050488741615E-5,0.0,0.3746324999999998,4.545296714431545E-6,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,27.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,28.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,29.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,30.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,31.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,32.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,33.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,34.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,35.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,36.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
1.1083333333333325E-4,4.462614766653691E-5,0.625,2.566666666666667E-4,0.0,0.0,37.0,5.030462757595521E-5,0.0,0.3746324999999998,0.0,0.0,4.337938258358365E-5
