Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,1.0842021724855044E-18,0.0,0.0,0.0030000000000000022,0.0
0.0,0.0,6.666666666666667E-5,4.780603169754489E-4,1.2472191289246464E-4,1.0,0.004050000000000003,0.0
0.0,0.0,2.0000000000000006E-4,7.10046946804693E-4,2.1984843263788187E-4,2.0,0.005000000000000004,0.0
7.806247497998012E-5,2.5E-5,3.5833333333333355E-4,0.0011071422171017096,3.013568851415585E-4,3.0,0.006383333333333338,0.0
1.0897247358851709E-4,5.0E-5,5.666666666666669E-4,0.0016342471933244644,3.6930866343600535E-4,4.0,0.008016666666666674,0.0
1.4666429922331723E-4,7.500000000000001E-5,7.833333333333339E-4,0.002155963145170467,4.0918278990636413E-4,5.0,0.009874999999999998,0.0
1.6329931618554516E-4,1.0000000000000003E-4,0.0010833333333333342,0.0029251038680513366,5.065542638476375E-4,6.0,0.01225833333333332,0.0
1.8181186857726172E-4,1.333333333333334E-4,0.0014250000000000011,0.004058767516130977,5.72503638998624E-4,7.0,0.015574999999999986,0.0
2.2110831935702628E-4,2.333333333333335E-4,0.0018500000000000014,0.005249125257814129,6.411253127639454E-4,8.0,0.019308333333333316,0.0
2.430992024302471E-4,2.833333333333335E-4,0.0023750000000000017,0.006853373814325966,7.827901485498308E-4,9.0,0.023658333333333316,0.0
2.9223159575164957E-4,4.0833333333333363E-4,0.003000000000000002,0.008606909369157367,0.001040832999733066,10.0,0.029033333333333314,0.0
3.2903478370666084E-4,4.8333333333333366E-4,0.003900000000000003,0.010690893710692912,0.0014044571905188136,11.0,0.03545,0.0
4.1228950858454924E-4,6.916666666666671E-4,0.00481666666666667,0.013186403324594961,0.0017487892637161532,12.0,0.042991666666666636,0.0
4.509057243174252E-4,8.916666666666672E-4,0.005891666666666671,0.015933899920191116,0.0020440929460820083,13.0,0.052399999999999995,0.0
4.951851505581857E-4,0.0010500000000000008,0.007100000000000005,0.01905371792240735,0.002331308645374953,14.0,0.06269999999999998,0.0
5.545111711128002E-4,0.0013083333333333343,0.008641666666666669,0.02299329461434837,0.0028981285867876105,15.0,0.07518333333333334,0.0
6.580695674133209E-4,0.0015333333333333345,0.010316666666666665,0.027705203770631653,0.003390540353526098,16.0,0.09055833333333332,0.0
8.034647195462634E-4,0.0019666666666666678,0.012691666666666658,0.03269912688904026,0.0041068011848910116,17.0,0.10779166666666669,0.0
0.0010039418835547976,0.002458333333333335,0.015249999999999986,0.03846854211740925,0.004876922697767518,18.0,0.12820833333333337,0.0
0.0011016953475842983,0.0030583333333333356,0.018133333333333317,0.04430206271063084,0.0056814513012863966,19.0,0.15102500000000005,0.0
0.0013501478828467474,0.0037416666666666696,0.02159166666666665,0.05086061016805311,0.006699345687370438,20.0,0.17690000000000008,0.0
0.0015758099769113442,0.004525000000000003,0.02559999999999998,0.05772007867838445,0.007731267683892464,21.0,0.2065583333333333,0.0
0.0018459367916829896,0.005558333333333337,0.0302583333333333,0.06409577130595713,0.008829282679747483,22.0,0.23894166666666672,0.0
0.002115419580130618,0.006500000000000005,0.03577500000000001,0.07055601153614685,0.010216706599976332,23.0,0.2742166666666667,0.0
0.002382134751063051,0.007541666666666671,0.04184166666666666,0.07703424563140733,0.011809599879147287,24.0,0.31199999999999994,0.0
