Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Time_STD,Susceptible_STD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,0.0,3.0,0.0,0.0
0.1,0.1658312395177699,0.0,0.0,0.02,0.5694514904713129,1.0,0.0,0.0,2496.11,0.06999999999999997,3.77,0.0,0.5093868863643822
0.16,0.19646882704388519,0.0,0.0,0.04,0.9041570660012561,2.0,0.0,0.0,2495.1,0.09797958971132702,4.7,0.0,0.8411301920630365
0.23,0.23296995514443483,0.0,0.0,0.12,1.3436796493212215,3.0,0.0,0.0,2493.74,0.16248076809271927,5.91,0.0,1.3465140177510229
0.31,0.2616772821625904,0.0,0.0,0.22,1.7675972391922314,4.0,0.0,0.0,2491.79,0.24062418831031962,7.68,0.0,1.805955425806521
0.4,0.29999999999999993,0.0,0.0,0.24,2.388116412572887,5.0,0.0,0.0,2489.62,0.2561249694973143,9.74,0.0,2.467569654538654
0.58,0.32542280190545975,0.0,0.0,0.41,3.304462891303215,6.0,0.0,0.0,2486.62,0.3323777970924052,12.39,0.0,3.382883385515973
0.85,0.4205650960315179,0.0,0.01,0.54,4.176912735502144,7.0,0.04974937185533099,0.0,2483.04,0.39,15.56,0.0,4.341036742530517
1.22,0.5318834458788883,0.0,0.01,0.81,5.504677556406007,8.0,0.04974937185533099,0.0,2478.17,0.47799058568134994,19.79,0.0,5.774536777958903
1.56,0.5844655678480982,0.0,0.02,1.12,6.893119758135646,9.0,0.06999999999999992,0.0,2472.44,0.5713142742834281,24.86,0.0,7.379132740369968
1.99,0.7088547100781656,0.0,0.04,1.47,8.733533076596204,10.0,0.09797958971132714,0.0,2464.54,0.6799080820228571,31.96,0.0,9.431707162544859
2.41,0.821872861213947,0.0,0.08,1.99,11.099922297025325,11.0,0.13564659966250542,0.0,2455.15,0.8200457304321508,40.37,0.0,12.015068663973583
2.98,0.9164605828948671,0.0,0.16,2.47,14.131079222762853,12.0,0.18330302779823363,0.0,2442.91,0.8730836156978323,51.48,0.0,15.277940797110059
3.78,1.182328211623152,0.0,0.19,3.05,17.971418280146953,13.0,0.2085065946199304,0.0,2427.13,1.0328964130056797,65.85,0.0,19.451947845909928
4.77,1.3907821540413867,0.0,0.29,3.82,22.69783855348345,14.0,0.25782746168707465,0.0,2407.47,1.3217034463146418,83.65,0.0,24.615793202738768
6.32,1.771835206784197,0.0,0.33,4.89,28.365392205996383,15.0,0.2743628983663788,0.0,2382.87,1.6490830785621442,105.59,0.0,30.95913879616163
