Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.772300000000001,0.0,0.0,4.607859233063394E-19,0.0,0.0,4.996003610813204E-16,0.22739999999999957,0.0,3.000000000000009E-4,2.0816681711721685E-16
1.916666666666667E-5,2.16946934115747E-5,0.772300000000001,0.0,8.333333333333335E-6,3.066111815747538E-5,1.0,0.0,4.996003610813204E-16,0.2273849999999996,1.3819269959814158E-5,2.875000000000005E-4,2.0052015692524432E-5
3.666666666666665E-5,2.881936077631765E-5,0.772300000000001,0.0,1.166666666666667E-5,3.992179855667831E-5,2.0,0.0,4.996003610813204E-16,0.22737666666666628,1.6051133570215177E-5,2.750000000000003E-4,2.3921166824009566E-5
4.666666666666666E-5,3.157882553582734E-5,0.772300000000001,0.0,1.5000000000000004E-5,4.8086654997919E-5,3.0,0.0,4.996003610813204E-16,0.2273641666666663,1.8984642916490844E-5,2.74166666666667E-4,3.148798271651217E-5
6.166666666666666E-5,3.6619287571199746E-5,0.772300000000001,0.0,1.9166666666666667E-5,5.2755660570428075E-5,4.0,0.0,4.996003610813204E-16,0.22735499999999967,2.0712147536060955E-5,2.641666666666669E-4,3.467107343785445E-5
7.5E-5,3.832427429188972E-5,0.772300000000001,0.0,2.4166666666666657E-5,5.766130755445007E-5,5.0,0.0,4.996003610813204E-16,0.22734499999999966,2.3270003342405338E-5,2.558333333333335E-4,3.971250852480935E-5
9.166666666666664E-5,4.212250652033369E-5,0.772300000000001,0.0,2.7499999999999984E-5,6.519069250198907E-5,6.0,0.0,4.996003610813204E-16,0.2273299999999997,2.4119926064010504E-5,2.508333333333335E-4,4.546060565661682E-5
1.075E-4,4.289643536083937E-5,0.772300000000001,0.0,2.8333333333333322E-5,6.676945201379313E-5,7.0,0.0,4.996003610813204E-16,0.22731499999999968,2.5152313787977612E-5,2.4916666666666674E-4,5.190134873006448E-5
1.2416666666666666E-4,4.37777689650301E-5,0.772300000000001,0.0,3.0833333333333315E-5,6.88395880935446E-5,8.0,0.0,4.996003610813204E-16,0.22730166666666637,2.645423196558331E-5,2.4333333333333336E-4,5.663602112515167E-5
1.3499999999999997E-4,4.5939271507792426E-5,0.772300000000001,0.0,3.1666666666666646E-5,7.288570771343918E-5,9.0,0.0,4.996003610813204E-16,0.22729249999999973,2.6601482832520596E-5,2.4083333333333324E-4,6.263734908183533E-5
1.5416666666666663E-4,4.559597630883188E-5,0.772300000000001,0.0,3.0833333333333315E-5,7.959860237466486E-5,10.0,0.0,4.996003610813204E-16,0.22727749999999974,2.645423196558331E-5,2.3749999999999992E-4,6.966063570386323E-5
1.7249999999999994E-4,4.785503282484159E-5,0.772300000000001,0.0,3.2499999999999984E-5,7.704503553117485E-5,11.0,0.0,4.996003610813204E-16,0.22727249999999977,2.7509468067073406E-5,2.224999999999999E-4,7.040433817125922E-5
1.8749999999999987E-4,5.383713866839505E-5,0.772300000000001,1.6666666666666667E-6,3.1666666666666646E-5,7.717224601860151E-5,12.0,6.400954789890515E-6,4.996003610813204E-16,0.2272658333333331,2.6601482832520596E-5,2.1333333333333325E-4,7.485982270587612E-5
1.9999999999999993E-4,5.477225575051658E-5,0.772300000000001,2.5E-6,3.4166666666666646E-5,7.970322557253673E-5,13.0,7.806247497998004E-6,4.996003610813204E-16,0.22726083333333313,2.7760758675191523E-5,2.024999999999999E-4,7.753919259889509E-5
2.15E-4,5.6143417542338244E-5,0.772300000000001,2.5E-6,3.499999999999998E-5,7.68645543942214E-5,14.0,7.806247497998004E-6,4.996003610813204E-16,0.2272583333333331,2.787621447279619E-5,1.8916666666666658E-4,7.70777024970379E-5
2.2416666666666662E-4,5.8093255967357276E-5,0.772300000000001,4.166666666666667E-6,3.499999999999998E-5,7.80747060335306E-5,15.0,9.991315673568177E-6,4.996003610813204E-16,0.22725083333333312,2.7876214472796187E-5,1.858333333333333E-4,7.984250991100251E-5
2.358333333333333E-4,6.0826198211698936E-5,0.772300000000001,4.166666666666667E-6,3.4166666666666646E-5,8.059565572797472E-5,16.0,9.991315673568177E-6,4.996003610813204E-16,0.22724666666666646,2.850134012443779E-5,1.7916666666666659E-4,8.264717512144755E-5
2.5000000000000006E-4,6.291528696058956E-5,0.772300000000001,5.0E-6,3.499999999999999E-5,8.035403433140952E-5,17.0,1.089724735885169E-5,4.996003610813204E-16,0.22723749999999981,2.933285984466337E-5,1.7249999999999996E-4,8.804887373877313E-5
2.633333333333334E-4,6.289320754704404E-5,0.772300000000001,5.833333333333334E-6,3.583333333333333E-5,7.907340998506809E-5,18.0,1.1718634258687692E-5,4.996003610813204E-16,0.22723249999999984,3.081925354204553E-5,1.6249999999999994E-4,8.924743226931744E-5
2.7416666666666675E-4,6.208053684976927E-5,0.772300000000001,5.833333333333334E-6,3.833333333333333E-5,8.041126924891947E-5,19.0,1.1718634258687692E-5,4.996003610813204E-16,0.22721999999999984,3.1080093664952544E-5,1.6166666666666665E-4,9.433981132056445E-5
2.808333333333334E-4,6.167651948315143E-5,0.772300000000001,6.6666666666666675E-6,3.9999999999999996E-5,7.82080114537862E-5,20.0,1.2472191289246465E-5,4.996003610813204E-16,0.2272166666666665,3.122498999199202E-5,1.558333333333333E-4,9.624909811987096E-5
2.9666666666666676E-4,6.420453428086076E-5,0.772300000000001,7.500000000000002E-6,3.749999999999999E-5,7.581845092060375E-5,21.0,1.3169567191065928E-5,4.996003610813204E-16,0.2272108333333332,2.962438466308907E-5,1.4749999999999993E-4,9.995745622791347E-5
3.091666666666668E-4,6.487033006099338E-5,0.772300000000001,7.500000000000002E-6,3.166666666666665E-5,7.233698147482304E-5,22.0,1.3169567191065928E-5,4.996003610813204E-16,0.22720999999999986,2.8124228384476987E-5,1.4166666666666654E-4,1.0029124255553434E-4
3.175000000000002E-4,6.603739470936143E-5,0.772300000000001,9.16666666666667E-6,3.083333333333332E-5,7.239815643754718E-5,23.0,1.4427741410984006E-5,4.996003610813204E-16,0.22720666666666653,2.7984991017011633E-5,1.3583333333333324E-4,1.0241527663824691E-4
3.2583333333333347E-4,6.62997716604079E-5,0.772300000000001,1.0000000000000003E-5,2.8333333333333322E-5,7.387583426864898E-5,24.0,1.4999999999999985E-5,4.996003610813204E-16,0.22720416666666654,2.5152313787977612E-5,1.316666666666666E-4,1.0356073768030358E-4
3.366666666666668E-4,6.643710475998248E-5,0.772300000000001,1.0000000000000003E-5,2.7499999999999987E-5,7.092640943651076E-5,25.0,1.4999999999999985E-5,4.996003610813204E-16,0.22720249999999986,2.411992606401051E-5,1.2333333333333326E-4,1.0517099172300184E-4
