Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.0,0.0,3.0,0.0
0.2,0.2236067977499788,0.0,0.0,0.15,0.5107837115648853,1.0,0.0,0.0,2496.07,0.2046338192968115,3.58,0.4541750763747386
0.35,0.29474565306378986,0.0,0.02,0.2,0.8672369918309526,2.0,0.06999999999999997,0.0,2494.97,0.212132034355964,4.46,0.7792785124716315
0.69,0.3853245385386194,0.0,0.02,0.4,1.1968709203585828,3.0,0.06999999999999997,0.0,2493.79,0.3535533905932735,5.1,1.1838390937961123
1.0,0.47958315233127197,0.0,0.08,0.55,1.5429193109168087,4.0,0.13564659966250542,0.0,2492.61,0.4023369234857772,5.76,1.5967075499289156
1.36,0.5546169849544818,0.0,0.09,0.73,1.974050404624968,5.0,0.1430908802125419,0.0,2491.07,0.5042568789813382,6.75,2.1286791679348984
1.86,0.710703876449256,0.0,0.16,0.82,2.4121774395761184,6.0,0.20880613017821115,0.0,2489.32,0.49183330509431733,7.84,2.6989627637298033
2.35,0.8437268515343103,0.0,0.21,1.05,2.971914366195634,7.0,0.2479415253643488,0.0,2487.36,0.5261891294962299,9.03,3.4091934530032195
2.85,0.9959292143521049,0.0,0.28,1.19,3.6842774054080136,8.0,0.2922327839240489,0.0,2485.06,0.5731273854912189,10.62,4.28650207045325
3.49,1.225754869458001,0.0,0.42,1.42,4.487702641664218,9.0,0.36180105030251103,0.0,2482.28,0.6487680633323438,12.39,5.349336407443452
4.33,1.408997870828767,0.0,0.59,1.71,5.600678530321126,10.0,0.412886182863995,0.0,2479.01,0.765816557669002,14.36,6.882040031851017
5.34,1.7135051794494236,0.0,0.75,1.89,6.628755539315053,11.0,0.4602988159880492,0.0,2475.3,0.8657222418304847,16.72,8.407883205658838
6.38,2.060072814247108,0.0,0.92,2.24,7.917820091414051,12.0,0.5180733538795448,0.0,2471.31,0.9330594836343498,19.15,10.181526162614329
7.62,2.486744860254062,0.0,1.23,2.41,9.217911911056646,13.0,0.6076800144813054,0.0,2466.72,1.0887952057205244,22.02,12.244402802913664
9.25,3.1259998400511795,0.0,1.45,2.79,10.855840593892303,14.0,0.6378675411086536,0.0,2461.24,1.3158552351987658,25.27,14.781934920706412
11.25,4.077606528344783,0.0,1.75,3.18,12.092212369951168,15.0,0.7529110173187799,0.0,2455.38,1.4341896666759244,28.44,17.21202777129993
13.07,4.8343846557757475,0.0,2.0,3.92,14.012382916549205,16.0,0.8366600265340756,0.0,2448.26,1.744534321817717,32.75,20.248780210175624
15.26,5.749617378573987,0.0,2.38,4.61,16.300119631462834,17.0,0.9049309365912961,0.0,2440.37,2.0048628382011575,37.38,23.840999874166357
18.22,6.798007060896596,0.0,2.84,5.08,18.82151428551911,18.0,1.1129240764760193,0.0,2431.54,2.2401785643113366,42.32,27.772416171446082
21.24,8.051434654768057,0.0,3.3,6.03,21.304048324203546,19.0,1.2298373876248845,0.0,2421.44,2.781595765024099,47.99,32.22780786836113
24.21,9.336834313620434,0.0,3.85,7.06,24.334405170457728,20.0,1.5254097810096796,0.0,2410.25,3.267889227008774,54.63,37.33439265610196
27.96,11.053940473876272,0.0,4.62,7.8,27.227784981522092,21.0,1.7244999275152204,0.0,2397.09,3.7689521090085503,62.53,42.547919749383766
32.32,13.025528780053424,0.0,5.37,8.94,30.070648479871533,22.0,2.051408053021143,0.0,2382.75,4.246068770050716,70.62,48.24299819662953
36.85,15.001395768394355,0.0,6.11,10.02,33.82937887399058,23.0,2.327976589229368,0.0,2366.17,4.5110863436649025,80.85,54.531002879096214
42.48,17.033860396281288,0.0,7.09,11.54,37.27680243797744,24.0,2.6749719624698876,0.0,2348.09,5.347625641347757,90.8,61.07565370096337
48.56,19.465523368252907,0.0,8.17,13.15,41.331102090314495,25.0,3.1710053610802995,0.0,2327.72,5.896768182657344,102.4,68.62131884480215
55.62,22.37943028765478,0.0,9.41,15.51,44.97640353563189,26.0,3.743724749497485,0.0,2306.11,6.6687686269655515,113.35,76.3930918015497
63.13,25.43222906078034,0.0,10.98,17.26,48.82375932883497,27.0,4.405099317836092,0.0,2282.02,7.307058231600457,126.61,84.50425965594867
71.61,28.836599574152284,0.0,12.54,19.19,52.18560026482401,28.0,5.0628154222724735,0.0,2256.61,7.967024224890996,140.05,92.35823988686661
80.92,32.08922560611272,0.0,14.18,21.6,56.193302759314655,29.0,5.6649713150200505,0.0,2228.83,8.912911982062873,154.47,101.04457073489895
91.62,35.78419902694484,0.0,16.2,24.28,59.26341430427376,30.0,6.449030934954493,0.0,2198.37,10.015008736890847,169.53,109.439473111853
103.03,39.46558342404177,0.0,18.54,26.87,62.81734314661835,31.0,7.42543601413412,0.0,2165.4,10.865462484404427,186.16,118.35826967305663
116.07,44.03886096392595,0.0,21.02,29.6,65.65776344043407,32.0,8.419910925894643,0.0,2131.49,11.346144719683425,201.82,126.98404417484899
130.07,48.592605147285525,0.0,23.7,33.17,68.41234830058094,33.0,9.452380652512893,0.0,2094.74,12.075813637184037,218.32,135.80656501067983
145.05,53.10722055427113,0.0,26.83,36.44,70.46460104194162,34.0,10.532106864250853,0.0,2056.68,12.935478344460247,235.0,143.92739280623408
161.23,58.14326508719646,0.0,29.95,39.65,72.0748853623785,35.0,11.611928134465868,0.0,2017.23,13.513766129395611,251.94,151.91712962994
178.37,62.75889000771126,0.0,33.99,42.98,73.5329210286114,36.0,12.756271986752244,0.0,1976.75,14.327766748520162,267.91,159.720496101784
197.01,67.85305796351409,0.0,38.07,46.3,74.49770650832146,37.0,14.151370075013938,0.0,1933.99,14.63207094023262,284.63,167.1211311444486
215.39,72.58153673628027,0.0,42.28,51.03,74.8214434503906,38.0,15.421426652550668,0.0,1891.22,15.778379986551215,300.08,173.9732390340537
236.01,77.37326718576641,0.0,47.45,54.28,74.77436325372487,39.0,16.997554971230418,0.0,1846.54,16.350547391448398,315.72,180.31267870008475
258.94,82.43666720580109,0.0,52.82,57.37,74.51710474783624,40.0,18.28255726095231,0.0,1800.49,16.66263109475811,330.38,186.02423894482138
282.41,87.61301544291237,0.0,58.31,60.98,73.01104984863592,41.0,19.671387215954038,0.0,1754.22,17.021013483338763,344.08,190.72916111596572
307.3,92.65318397119444,0.0,63.73,65.31,71.25334307946541,42.0,21.163394694613622,0.0,1709.04,17.39032705270375,354.62,194.8332610208021
332.74,97.49537476208809,0.0,69.72,67.94,70.05311841738381,43.0,22.73379422797699,0.0,1662.28,17.02877270974042,367.32,198.1738640689029
358.77,101.83920794566305,0.0,75.98,71.22,68.21524756240352,44.0,24.304318546299548,0.0,1617.03,17.071259473161316,377.0,201.2206805350782
385.45,106.30748738917688,0.0,82.83,73.99,66.10440303035797,45.0,25.84386339152875,0.0,1572.19,16.823717633151123,385.54,203.19580083013528
412.48,110.19781032307311,0.0,89.72,77.55,63.286488289365515,46.0,27.270045837878598,0.0,1526.21,16.915580835430983,394.04,204.18166292544493
440.65,114.17469892668865,0.0,97.17,80.05,60.699576604783665,47.0,28.719336256257733,0.0,1482.29,16.03439662101446,399.84,204.43822165876907
469.35,117.40910047777383,0.0,104.77,82.64,58.25053025509725,48.0,30.098575962991998,0.0,1439.51,15.73904698512588,403.73,204.4125790527579
498.72,120.6759106035666,0.0,112.61,83.74,55.91376820605102,49.0,31.474664017269507,0.0,1397.32,15.23328920489597,407.61,203.9244821006051
