Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.5499999999999988,0.0,0.0,4.607859233063394E-19,0.0,0.0,6.106226635438361E-16,0.4497,0.0,3.000000000000009E-4,0.0
1.9999999999999998E-5,2.2912878474779208E-5,0.5499999999999988,0.0,8.833333333333332E-5,5.851756621353582E-5,1.0,0.0,6.106226635438361E-16,0.44962999999999964,4.091827899063642E-5,2.616666666666667E-4,4.4534630719620545E-5
4.0E-5,3.055050463303894E-5,0.5499999999999988,7.0E-5,5.416666666666668E-5,6.890008869531461E-5,2.0,3.9051248379533286E-5,6.106226635438361E-16,0.44957249999999954,3.409290819054441E-5,2.6333333333333336E-4,6.088325577145958E-5
6.25E-5,3.929721152109055E-5,0.5499999999999988,1.0166666666666663E-4,5.9166666666666684E-5,9.383792173506167E-5,3.0,4.698551786336816E-5,6.106226635438361E-16,0.4495099999999997,3.564631428664434E-5,2.666666666666666E-4,8.789197915623372E-5
8.166666666666668E-5,4.471359475098766E-5,0.5499999999999988,1.3166666666666662E-4,4.833333333333335E-5,1.0411998954198095E-4,4.0,4.999305507323548E-5,6.106226635438361E-16,0.44944999999999974,4.03026742978125E-5,2.883333333333333E-4,1.0878112581387101E-4
1.0333333333333329E-4,4.827582785986746E-5,0.5499999999999988,1.541666666666666E-4,6.0833333333333346E-5,1.327487183449325E-4,5.0,5.1192379532721664E-5,6.106226635438361E-16,0.44938499999999976,3.7802024490171896E-5,2.9666666666666676E-4,1.4643684645607603E-4
1.2249999999999997E-4,5.0605706199992955E-5,0.5499999999999988,1.7666666666666658E-4,6.083333333333335E-5,1.4524344984274582E-4,6.0,5.542763049438627E-5,6.106226635438361E-16,0.4493208333333333,4.485896107678923E-5,3.1916666666666665E-4,1.731925510009659E-4
1.4583333333333326E-4,5.5862865324133035E-5,0.5499999999999988,1.9500000000000002E-4,7.083333333333334E-5,1.6399896256446943E-4,7.0,5.8040933831219525E-5,6.106226635438361E-16,0.4492541666666666,4.3967712269598704E-5,3.341666666666667E-4,2.0945323994204956E-4
1.6916666666666659E-4,6.284764425886531E-5,0.5499999999999988,2.2250000000000004E-4,7.666666666666666E-5,1.7814583211515222E-4,8.0,6.59742689740983E-5,6.106226635438361E-16,0.4491891666666665,5.233439489369195E-5,3.425000000000001E-4,2.4150533407957817E-4
2.0166666666666656E-4,7.273906943467331E-5,0.5499999999999988,2.5083333333333343E-4,7.749999999999997E-5,1.7975629721622802E-4,9.0,7.527611211769351E-5,6.106226635438361E-16,0.4491291666666665,5.301827515112129E-5,3.4083333333333345E-4,2.7305340086185097E-4
