Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,8.131516293641283E-20,0.0,0.0,3.0000000000000014E-4,0.0
0.0,0.0,1.5599999999999993E-5,4.5759807691903594E-5,1.9213536894595958E-5,1.0,3.803999999999991E-4,0.0
1.0688311372709905E-5,4.8000000000000015E-6,2.9600000000000008E-5,7.357200554558773E-5,2.722058044935851E-5,2.0,4.6919999999999964E-4,0.0
1.846618531261943E-5,1.3999999999999993E-5,4.8399999999999964E-5,1.0754422346179273E-4,3.262453064796485E-5,3.0,5.736000000000001E-4,0.0
2.1908902300206615E-5,1.9999999999999998E-5,7.15999999999999E-5,1.4541925594638422E-4,3.960252517201393E-5,4.0,6.964000000000002E-4,0.0
2.646431559666716E-5,3.1600000000000016E-5,1.0039999999999984E-4,1.9080974817865042E-4,4.658282945463918E-5,5.0,8.284000000000003E-4,0.0
3.0244999586708548E-5,4.359999999999997E-5,1.347999999999999E-4,2.362308193271996E-4,5.5201811564476716E-5,6.0,9.70000000000001E-4,0.0
3.5964426868782445E-5,5.6799999999999924E-5,1.6400000000000006E-4,2.8914916565675914E-4,6.384355879804952E-5,7.0,0.0011348000000000005,0.0
4.1467577696316004E-5,7.239999999999992E-5,1.9560000000000004E-4,3.5263153574233814E-4,7.513427979291476E-5,8.0,0.0013180000000000012,0.0
4.6355582188124836E-5,9.079999999999988E-5,2.328000000000003E-4,4.29051791745472E-4,8.468199336340638E-5,9.0,0.001523200000000001,0.0
5.258326730053955E-5,1.0999999999999983E-4,2.7520000000000046E-4,5.236739825502122E-4,9.52168052394114E-5,10.0,0.0017667999999999991,0.0
5.9637572049841204E-5,1.3119999999999994E-4,3.2720000000000026E-4,6.239667939882697E-4,1.1495668749576935E-4,11.0,0.002022400000000002,0.0
6.808817812219686E-5,1.5600000000000008E-4,3.820000000000002E-4,7.378543216651918E-4,1.3026511428621256E-4,12.0,0.0023179999999999997,0.0
7.952358140828417E-5,1.8800000000000026E-4,4.5160000000000024E-4,8.516187879562074E-4,1.5415693302605634E-4,13.0,0.0026223999999999996,0.0
