Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.5499999999999988,0.0,0.0,4.607859233063394E-19,0.0,0.0,6.106226635438361E-16,0.4497,0.0,3.000000000000009E-4,0.0
1.7500000000000002E-5,1.8998355191963332E-5,0.5499999999999988,0.0,7.333333333333336E-5,6.757711644237767E-5,1.0,0.0,6.106226635438361E-16,0.4496291666666663,3.6362373715452385E-5,2.800000000000001E-4,4.804331089987338E-5
4.333333333333334E-5,2.867441755680877E-5,0.5499999999999988,5.833333333333338E-5,4.5000000000000016E-5,9.017633189109729E-5,2.0,3.2004773949452554E-5,6.106226635438361E-16,0.44954583333333287,3.406488905994948E-5,3.0750000000000016E-4,7.689165357103917E-5
7.0E-5,3.741657386773942E-5,0.5499999999999988,7.916666666666665E-5,5.6666666666666684E-5,1.2417435658513938E-4,3.0,3.4698603077869814E-5,6.106226635438361E-16,0.44945666666666645,3.858612300930076E-5,3.375000000000001E-4,1.256206812414064E-4
8.499999999999999E-5,4.3612880360431725E-5,0.5499999999999988,1.1166666666666656E-4,5.999999999999999E-5,1.6004339689249572E-4,4.0,3.988699314591437E-5,6.106226635438361E-16,0.44936666666666636,4.20317340430616E-5,3.7666666666666675E-4,1.7646214576755233E-4
1.1083333333333331E-4,4.949572091493252E-5,0.5499999999999988,1.3333333333333323E-4,7.249999999999996E-5,1.9222337628105722E-4,5.0,4.2979323194092064E-5,6.106226635438361E-16,0.4492724999999996,4.516751229220694E-5,4.1083333333333347E-4,2.2976097180910947E-4
1.3833333333333333E-4,6.493051841947837E-5,0.5499999999999988,1.6416666666666655E-4,7.916666666666662E-5,2.3923489154664164E-4,6.0,4.7782420640045254E-5,6.106226635438361E-16,0.4491383333333332,5.548867502072433E-5,4.8000000000000023E-4,2.995957925086554E-4
1.7083333333333328E-4,7.370997030403838E-5,0.5499999999999988,1.8916666666666658E-4,1.041666666666666E-4,2.9417965032725607E-4,7.0,5.90888572876101E-5,6.106226635438361E-16,0.44898583333333314,6.720485886865286E-5,5.500000000000001E-4,3.9514215972088893E-4
2.1666666666666666E-4,8.881941729649485E-5,0.5499999999999988,2.2249999999999993E-4,1.1583333333333331E-4,3.75258938378999E-4,8.0,7.084681244299795E-5,6.106226635438361E-16,0.4488024999999998,6.64567006069031E-5,6.425000000000004E-4,5.115524777576596E-4
2.516666666666666E-4,1.0973136389484195E-4,0.5499999999999988,2.641666666666666E-4,1.2416666666666663E-4,4.439170264687862E-4,9.0,9.41620574093172E-5,6.106226635438361E-16,0.4485858333333332,7.772704198382662E-5,7.741666666666667E-4,6.320039501898351E-4
2.9333333333333343E-4,1.295397836788203E-4,0.5499999999999988,3.000000000000001E-4,1.566666666666666E-4,5.201480491701911E-4,10.0,1.1273124382057228E-4,6.106226635438361E-16,0.4483558333333332,9.80504405338848E-5,8.941666666666667E-4,7.696805569339931E-4
3.650000000000001E-4,1.721978029282991E-4,0.5499999999999988,3.5750000000000007E-4,1.5833333333333327E-4,6.177912043904656E-4,11.0,1.336448184554867E-4,6.106226635438361E-16,0.4480675,1.0637655861242281E-4,0.001051666666666667,9.432029319469563E-4
4.383333333333335E-4,1.9876528592510526E-4,0.5499999999999988,4.033333333333333E-4,2.1833333333333324E-4,7.514096705895896E-4,12.0,1.6456170743996178E-4,6.106226635438361E-16,0.44772916666666646,1.3416149058338443E-4,0.001210833333333334,0.0011663046313273196
5.283333333333332E-4,2.519245367609557E-4,0.5499999999999988,4.8666666666666666E-4,2.1916666666666658E-4,8.841521362299591E-4,13.0,2.0845996151672757E-4,6.106226635438361E-16,0.44735583333333334,1.4336663857242234E-4,0.0014099999999999991,0.0014120876364643793
6.275000000000002E-4,3.1244749558925896E-4,0.5499999999999988,5.608333333333333E-4,2.641666666666666E-4,0.0010692127815464152,14.0,2.485202735973243E-4,6.106226635438361E-16,0.4468691666666666,1.6767973358624926E-4,0.0016783333333333333,0.0017167531834994666
7.516666666666668E-4,3.892826379665837E-4,0.5499999999999988,6.508333333333333E-4,3.300000000000001E-4,0.001224028455438117,15.0,2.960852800386327E-4,6.106226635438361E-16,0.4463466666666667,2.1694853460363985E-4,0.0019208333333333332,0.0020503651436322794
8.966666666666669E-4,4.7552310377333123E-4,0.5499999999999988,7.575E-4,3.833333333333333E-4,0.001412907758253643,16.0,3.5903008810776103E-4,6.106226635438361E-16,0.4457225000000001,2.50859633172728E-4,0.0022400000000000002,0.002429827347261529
0.0010516666666666667,5.632118951947738E-4,0.5499999999999988,8.900000000000005E-4,4.4833333333333335E-4,0.001682205686657319,17.0,4.469060303911775E-4,6.106226635438361E-16,0.4449516666666667,2.788356246170053E-4,0.0026583333333333333,0.002901500928638294
0.0012333333333333335,6.715756762189121E-4,0.5499999999999988,0.0010541666666666666,5.150000000000003E-4,0.001969452079400652,18.0,5.493896550314318E-4,6.106226635438361E-16,0.4440866666666667,3.2279056677666406E-4,0.003110833333333333,0.0034350942086385657
0.0014324999999999995,7.818824107029565E-4,0.5499999999999988,0.0012275000000000007,5.933333333333336E-4,0.0022811120582343653,19.0,6.490686436477015E-4,6.106226635438361E-16,0.44311333333333314,3.916702127499046E-4,0.003633333333333331,0.004034062950536207
0.0016899999999999997,9.41992568972813E-4,0.5499999999999988,0.001434166666666667,6.716666666666669E-4,0.0026537622337081284,20.0,7.901080050994433E-4,6.106226635438361E-16,0.44194999999999995,4.333581723650258E-4,0.0042541666666666665,0.004750675390580444
