Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,8.131516293641283E-20,0.0,0.0,3.0000000000000014E-4,0.0
0.0,0.0,1.7199999999999998E-5,4.40908153700972E-5,1.9900753754569217E-5,1.0,3.519999999999991E-4,0.0
1.4853955702101684E-5,8.8E-6,3.2400000000000015E-5,9.828306059540484E-5,2.7341543482400513E-5,2.0,4.2759999999999944E-4,0.0
1.9390719429665353E-5,1.599999999999999E-5,5.7599999999999916E-5,1.6506059493410287E-4,3.674996598637889E-5,3.0,5.099999999999998E-4,0.0
2.6397727174891416E-5,2.9200000000000015E-5,8.31999999999999E-5,2.607565147795927E-4,4.5491098030274005E-5,4.0,6.195999999999998E-4,0.0
3.0297854709533473E-5,3.9599999999999994E-5,1.0359999999999982E-4,3.923977573840098E-4,4.823650070226899E-5,5.0,7.639999999999997E-4,0.0
3.599999999999997E-5,5.599999999999994E-5,1.3479999999999994E-4,5.570489745076274E-4,6.7284767964228E-5,6.0,9.476000000000005E-4,0.0
4.4909241810567256E-5,7.079999999999989E-5,1.6520000000000006E-4,7.657900756734841E-4,9.070413441514128E-5,7.0,0.0011668000000000008,0.0
6.456655480974653E-5,9.079999999999985E-5,2.0560000000000017E-4,0.0010136478481208352,1.1265948695072255E-4,8.0,0.001440400000000001,0.0
7.656526627655665E-5,1.1519999999999985E-4,2.5800000000000025E-4,0.0013053952811313513,1.5539948519863227E-4,9.0,0.0017708000000000025,0.0
9.92018144995342E-5,1.4600000000000005E-4,3.184000000000003E-4,0.0016716649903614066,2.0370409912419564E-4,10.0,0.002159200000000002,0.0
1.227002852482421E-4,1.8160000000000019E-4,3.9520000000000034E-4,0.0020706538194493066,2.619050209522529E-4,11.0,0.0026347999999999996,0.0
1.5367706400110578E-4,2.3120000000000012E-4,4.804000000000005E-4,0.002499533756523403,3.2495224264497707E-4,12.0,0.0031779999999999985,0.0
1.8540593302265185E-4,2.816000000000003E-4,5.756000000000003E-4,0.002970633797693683,3.875321406025569E-4,13.0,0.0037956000000000005,0.0
2.2581948543028772E-4,3.332000000000005E-4,6.923999999999999E-4,0.003522704551903269,4.852170236090241E-4,14.0,0.004558399999999998,0.0
2.8368884362977675E-4,3.984000000000003E-4,8.355999999999996E-4,0.004139541520506832,6.001276197609977E-4,15.0,0.0054279999999999945,0.0
3.619847510600412E-4,4.896000000000006E-4,0.0010088000000000005,0.004799638919752195,7.342619695994067E-4,16.0,0.006413599999999992,0.0
4.487203583525044E-4,6.004000000000004E-4,0.0012196,0.005544954694134119,8.899404249723685E-4,17.0,0.0075175999999999915,0.0
5.441485458953279E-4,7.212000000000005E-4,0.0014484,0.006308587341077239,0.0010524943515287859,18.0,0.008695199999999993,0.0
6.439826395175574E-4,8.611999999999999E-4,0.0017139999999999996,0.007155876589209741,0.001241869960986253,19.0,0.009993599999999998,0.0
7.656538121109311E-4,0.0010263999999999994,0.0020423999999999993,0.008024970968171785,0.001470731301087999,20.0,0.011412800000000004,0.0
8.979146730062938E-4,0.0012235999999999998,0.0023791999999999984,0.008919155081060087,0.0016996328544718123,21.0,0.0129416,0.0
0.0010351962326052005,0.001425199999999999,0.0027711999999999954,0.009860450344685077,0.0019647322056707867,22.0,0.014585999999999998,0.0
0.0012042253775768064,0.0016635999999999988,0.0031703999999999955,0.010781309310097728,0.002221940809292634,23.0,0.0162732,0.0
0.0013829137500220307,0.0019267999999999987,0.003623199999999996,0.01172120676551694,0.002507697238503884,24.0,0.01800280000000002,0.0
0.0015705527816663786,0.0022171999999999973,0.004102799999999995,0.01260615113506101,0.0028005656642899825,25.0,0.019786800000000014,0.0
0.001765701718864203,0.0025175999999999966,0.004616399999999996,0.01349498458687523,0.0030928276317958607,26.0,0.02161800000000003,0.0
0.0019628817692362434,0.002849199999999996,0.005191999999999994,0.014377638048024449,0.0034243486971977577,27.0,0.023560800000000034,0.0
0.002184501856259225,0.0032283999999999933,0.005776399999999991,0.015261980030127152,0.003741150994012402,28.0,0.025566800000000008,0.0
0.0024044069206355227,0.003628799999999996,0.0063979999999999905,0.016103790645683392,0.004069042762124771,29.0,0.027535600000000025,0.0
0.0026484030584486206,0.0040635999999999945,0.007062799999999993,0.016911656410890104,0.004402431605374466,30.0,0.029517600000000015,0.0
0.0028957935630842184,0.004531599999999992,0.007743999999999996,0.017693697291408607,0.004746434029879696,31.0,0.031540800000000015,0.0
