Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,4.607859233063394E-19,0.0,0.0,3.000000000000009E-4,0.0
0.0,0.0,1.058333333333333E-4,2.90802290606904E-5,4.198007133020251E-5,1.0,3.391666666666672E-4,0.0
3.9473531919784206E-5,9.583333333333332E-5,1.4416666666666655E-4,4.541284387581212E-5,4.864661401943154E-5,2.0,3.741666666666671E-4,0.0
4.636809247747853E-5,1.2999999999999996E-4,1.7916666666666656E-4,5.8428493809860336E-5,5.159773627678728E-5,3.0,3.9666666666666724E-4,0.0
5.016638981097469E-5,1.599999999999999E-4,2.0416666666666662E-4,6.704968100015256E-5,5.4922609693600274E-5,4.0,4.208333333333337E-4,0.0
5.2399043142239E-5,1.791666666666666E-4,2.2416666666666668E-4,7.383822406676187E-5,5.6640619013409656E-5,5.0,4.4500000000000025E-4,0.0
5.4197106831351155E-5,1.9916666666666664E-4,2.366666666666667E-4,8.023295076767954E-5,5.9837743570054145E-5,6.0,4.5916666666666697E-4,0.0
5.72988631843793E-5,2.1083333333333335E-4,2.558333333333334E-4,8.70813396900979E-5,6.251527591095007E-5,7.0,4.758333333333335E-4,0.0
6.037929878875893E-5,2.258333333333334E-4,2.700000000000001E-4,9.590214920543867E-5,6.377042156569664E-5,8.0,4.933333333333335E-4,0.0
6.234842731688497E-5,2.3916666666666674E-4,2.8750000000000016E-4,1.0258803807245536E-4,6.75655545871316E-5,9.0,5.083333333333335E-4,0.0
6.581618975095214E-5,2.525000000000001E-4,2.9750000000000013E-4,1.1049054132468634E-4,7.201345360417041E-5,10.0,5.241666666666668E-4,0.0
6.87676744957655E-5,2.591666666666669E-4,3.0916666666666685E-4,1.2345644193623737E-4,7.302848569032653E-5,11.0,5.441666666666668E-4,0.0
7.046349527710547E-5,2.675000000000002E-4,3.200000000000002E-4,1.3401842224112324E-4,7.348469228349538E-5,12.0,5.625000000000002E-4,0.0
7.245209145052721E-5,2.8166666666666694E-4,3.3083333333333353E-4,1.4160537889972024E-4,7.979030677692348E-5,13.0,5.750000000000001E-4,0.0
7.745854626113821E-5,2.9083333333333364E-4,3.425000000000002E-4,1.471464689801741E-4,8.027621586331369E-5,14.0,5.849999999999999E-4,0.0
7.892397009499433E-5,3.0083333333333356E-4,3.533333333333335E-4,1.4944283094957156E-4,8.314979788844284E-5,15.0,5.908333333333334E-4,0.0
8.230616960808927E-5,3.083333333333336E-4,3.608333333333335E-4,1.6077881200235577E-4,8.643297820983734E-5,16.0,6.041666666666666E-4,0.0
8.490088175173577E-5,3.158333333333336E-4,3.6833333333333347E-4,1.63320046228257E-4,8.803014004053129E-5,17.0,6.075000000000001E-4,0.0
8.809322713277491E-5,3.250000000000003E-4,3.725000000000002E-4,1.6918103387266026E-4,9.105000915247988E-5,18.0,6.133333333333332E-4,0.0
9.069082858199546E-5,3.291666666666669E-4,3.8000000000000024E-4,1.7622143188487482E-4,9.47804480540862E-5,19.0,6.191666666666666E-4,0.0
9.298203978307972E-5,3.341666666666669E-4,3.841666666666669E-4,1.7978382080215748E-4,9.768056641704922E-5,20.0,6.233333333333333E-4,0.0
9.49085817452189E-5,3.3833333333333355E-4,3.8916666666666684E-4,1.824809731329696E-4,1.0181597642588101E-4,21.0,6.283333333333333E-4,0.0
9.782264989936296E-5,3.425000000000002E-4,3.900000000000002E-4,1.9120233610846207E-4,1.015299627367869E-4,22.0,6.4E-4,0.0
9.782264989936296E-5,3.425000000000002E-4,3.966666666666668E-4,1.9232495649002215E-4,1.0526421783092092E-4,23.0,6.433333333333333E-4,0.0
1.028753290800731E-4,3.5000000000000027E-4,4.0083333333333355E-4,1.983223911547391E-4,1.0458167329359811E-4,24.0,6.525000000000001E-4,0.0
1.0204080746882046E-4,3.541666666666669E-4,4.091666666666669E-4,2.0600321936535098E-4,1.1217468396310385E-4,25.0,6.591666666666666E-4,0.0
1.0710116583035974E-4,3.6083333333333356E-4,4.158333333333335E-4,2.1421692017412845E-4,1.1779145295346727E-4,26.0,6.666666666666666E-4,0.0
1.1205157542647746E-4,3.6666666666666694E-4,4.233333333333335E-4,2.190315648231753E-4,1.2478871031556583E-4,27.0,6.708333333333334E-4,0.0
