Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.75,0.0,0.0,2.168404344971009E-19,0.0,0.0,0.0,0.2497000000000003,0.0,3.000000000000004E-4,1.5265566588595902E-16
2.3611111111111117E-5,2.2811205146745625E-5,0.75,0.0,5.416666666666665E-5,4.207554016583639E-5,1.0,0.0,0.0,0.2496986111111114,3.3268165463898565E-5,2.2361111111111117E-4,5.851492898040117E-6
3.749999999999999E-5,2.818281095514306E-5,0.75,4.999999999999999E-5,3.055555555555556E-5,4.166666666666666E-5,2.0,3.227486121839514E-5,0.0,0.2496986111111114,2.4493322345206108E-5,1.833333333333333E-4,5.851492898040117E-6
4.722222222222221E-5,3.114952985000806E-5,0.75,7.638888888888886E-5,2.2222222222222227E-5,3.9868611373353675E-5,3.0,3.485391692036E-5,0.0,0.2496986111111114,2.3895347964007303E-5,1.5555555555555554E-4,5.851492898040117E-6
5.833333333333332E-5,3.510895738823484E-5,0.75,9.444444444444447E-5,1.944444444444445E-5,4.4439018766044876E-5,4.0,3.52460487234709E-5,0.0,0.2496986111111114,2.1471701157972653E-5,1.2916666666666664E-4,5.851492898040117E-6
6.527777777777776E-5,3.922842845138503E-5,0.75,1.0694444444444445E-4,1.805555555555556E-5,4.5304184528611363E-5,5.0,3.937567361759678E-5,0.0,0.2496986111111114,2.096026148998134E-5,1.1111111111111112E-4,5.851492898040117E-6
6.666666666666664E-5,3.9965262694272694E-5,0.75,1.1805555555555555E-4,1.805555555555556E-5,4.5256257667030895E-5,6.0,4.110149099154916E-5,0.0,0.2496986111111114,2.096026148998134E-5,9.861111111111112E-5,5.851492898040117E-6
6.94444444444444E-5,4.0516533738374505E-5,0.75,1.263888888888889E-4,1.1111111111111113E-5,4.321208107251124E-5,7.0,4.1660879227696234E-5,0.0,0.2496986111111114,1.5713484026367726E-5,9.444444444444447E-5,5.851492898040117E-6
7.499999999999997E-5,4.14578098794425E-5,0.75,1.263888888888889E-4,1.527777777777778E-5,4.2212855320636476E-5,8.0,4.1660879227696234E-5,0.0,0.2496986111111114,1.9825142255028054E-5,8.472222222222221E-5,5.851492898040117E-6
8.47222222222222E-5,4.0534383743090264E-5,0.75,1.3333333333333334E-4,1.1111111111111113E-5,4.101339738953722E-5,9.0,4.409585518440985E-5,0.0,0.2496986111111114,1.571348402636773E-5,7.222222222222222E-5,5.851492898040117E-6
8.888888888888888E-5,4.129463540921806E-5,0.75,1.3472222222222222E-4,1.1111111111111113E-5,3.818813079129869E-5,10.0,4.49997856647845E-5,0.0,0.2496986111111114,1.5713484026367726E-5,6.666666666666667E-5,5.851492898040117E-6
9.583333333333331E-5,4.202966875381669E-5,0.75,1.3749999999999998E-4,9.722222222222224E-6,3.510895738823484E-5,11.0,4.4439018766044876E-5,0.0,0.2496986111111114,1.4813006255348299E-5,5.833333333333332E-5,5.851492898040117E-6
9.72222222222222E-5,4.164351208490264E-5,0.75,1.3749999999999998E-4,1.1111111111111113E-5,3.321739095305943E-5,12.0,4.4439018766044876E-5,0.0,0.2496986111111114,1.5713484026367726E-5,5.555555555555552E-5,5.851492898040117E-6
9.86111111111111E-5,4.207554016583642E-5,0.75,1.388888888888889E-4,1.1111111111111113E-5,3.330438557856057E-5,13.0,4.4531165394115014E-5,0.0,0.2496986111111114,1.5713484026367726E-5,5.277777777777774E-5,5.851492898040117E-6
1.0277777777777775E-4,4.080119672657882E-5,0.75,1.388888888888889E-4,1.1111111111111113E-5,3.117274401036589E-5,14.0,4.4531165394115014E-5,0.0,0.2496986111111114,1.5713484026367726E-5,4.8611111111111074E-5,5.851492898040117E-6
1.0972222222222221E-4,4.3429158649318245E-5,0.75,1.4027777777777777E-4,1.1111111111111113E-5,3.07992178632454E-5,15.0,4.382709257080463E-5,0.0,0.2496986111111114,1.5713484026367726E-5,4.0277777777777764E-5,5.851492898040117E-6
1.1249999999999997E-4,4.3251123941722306E-5,0.75,1.4166666666666668E-4,8.333333333333334E-6,3.068155838107574E-5,16.0,4.3898557303553084E-5,0.0,0.2496986111111114,1.3819269959814165E-5,3.888888888888888E-5,5.851492898040117E-6
1.1527777777777776E-4,4.302754465183241E-5,0.75,1.4166666666666668E-4,8.333333333333334E-6,3.039731753922123E-5,17.0,4.3898557303553084E-5,0.0,0.2496986111111114,1.3819269959814165E-5,3.61111111111111E-5,5.851492898040117E-6
1.1527777777777776E-4,4.302754465183241E-5,0.75,1.4166666666666668E-4,1.1111111111111112E-5,3.004626062886658E-5,18.0,4.3898557303553084E-5,0.0,0.2496986111111114,1.778645621509125E-5,3.333333333333333E-5,5.851492898040117E-6
1.1805555555555552E-4,4.2757706330172645E-5,0.75,1.4166666666666668E-4,1.1111111111111112E-5,2.7181091376084616E-5,19.0,4.3898557303553084E-5,0.0,0.2496986111111114,1.778645621509125E-5,3.055555555555556E-5,5.851492898040117E-6
1.194444444444444E-4,4.219571536378697E-5,0.75,1.4166666666666668E-4,1.1111111111111112E-5,2.692259996525019E-5,20.0,4.3898557303553084E-5,0.0,0.2496986111111114,1.778645621509125E-5,2.916666666666667E-5,5.851492898040117E-6
1.2499999999999998E-4,4.228704818788424E-5,0.75,1.4166666666666668E-4,8.333333333333334E-6,2.6343162136653697E-5,21.0,4.3898557303553084E-5,0.0,0.2496986111111114,1.3819269959814158E-5,2.6388888888888895E-5,5.851492898040117E-6
1.2638888888888886E-4,4.2486154244284526E-5,0.75,1.4166666666666668E-4,6.944444444444445E-6,2.6343162136653697E-5,22.0,4.3898557303553084E-5,0.0,0.2496986111111114,1.2710420290085502E-5,2.6388888888888895E-5,5.851492898040117E-6
1.2777777777777776E-4,4.267303193260339E-5,0.75,1.4166666666666668E-4,8.333333333333334E-6,2.5675668815744663E-5,23.0,4.3898557303553084E-5,0.0,0.2496986111111114,1.3819269959814158E-5,2.3611111111111117E-5,5.851492898040117E-6
1.2777777777777776E-4,4.267303193260339E-5,0.75,1.4305555555555556E-4,6.944444444444445E-6,2.5675668815744663E-5,24.0,4.395893671694016E-5,0.0,0.2496986111111114,1.2710420290085502E-5,2.3611111111111117E-5,5.851492898040117E-6
1.3194444444444446E-4,4.3161831203500935E-5,0.75,1.4305555555555556E-4,6.944444444444445E-6,2.4493322345206087E-5,25.0,4.395893671694016E-5,0.0,0.2496986111111114,1.2710420290085502E-5,1.944444444444445E-5,5.851492898040117E-6
1.3194444444444446E-4,4.3161831203500935E-5,0.75,1.4305555555555556E-4,9.722222222222224E-6,2.041241452319316E-5,26.0,4.395893671694016E-5,0.0,0.2496986111111114,1.4813006255348297E-5,1.666666666666667E-5,5.851492898040117E-6
1.3333333333333334E-4,4.330127018922193E-5,0.75,1.4305555555555556E-4,8.333333333333334E-6,2.041241452319316E-5,27.0,4.395893671694016E-5,0.0,0.2496986111111114,1.3819269959814158E-5,1.666666666666667E-5,5.851492898040117E-6
1.3333333333333334E-4,4.330127018922193E-5,0.75,1.4305555555555556E-4,8.333333333333334E-6,2.041241452319316E-5,28.0,4.395893671694016E-5,0.0,0.2496986111111114,1.3819269959814158E-5,1.666666666666667E-5,5.851492898040117E-6
