Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,8.131516293641283E-20,0.0,0.0,3.0000000000000014E-4,0.0
0.0,0.0,5.719999999999993E-5,1.4282856857085683E-5,3.566566976799956E-5,1.0,3.079999999999999E-4,0.0
3.2631886246430775E-5,5.079999999999994E-5,9.039999999999983E-5,2.1802752119858604E-5,4.021144115795903E-5,2.0,3.1839999999999966E-4,0.0
3.7704641624075915E-5,8.119999999999983E-5,1.1799999999999971E-4,2.354909764725603E-5,4.300000000000006E-5,3.0,3.223999999999996E-4,0.0
4.010037406309325E-5,1.0279999999999971E-4,1.375999999999999E-4,2.8858967410494845E-5,4.366417295678469E-5,4.0,3.3079999999999937E-4,0.0
4.07430975749268E-5,1.1999999999999969E-4,1.5039999999999992E-4,3.096384988983117E-5,4.544183094902759E-5,5.0,3.363999999999993E-4,0.0
4.224926034855522E-5,1.2999999999999974E-4,1.6399999999999997E-4,3.416665040650024E-5,4.556314299957806E-5,6.0,3.4159999999999936E-4,0.0
4.256806314597834E-5,1.4279999999999987E-4,1.728E-4,3.572114219898352E-5,4.533254901282301E-5,7.0,3.4399999999999936E-4,0.0
4.2952997567108194E-5,1.4959999999999992E-4,1.852000000000001E-4,3.634556369077251E-5,4.6853388351324176E-5,8.0,3.459999999999994E-4,0.0
4.451920933709407E-5,1.5960000000000006E-4,1.948000000000001E-4,3.718924575734228E-5,4.693868340718563E-5,9.0,3.471999999999994E-4,0.0
4.528840911314941E-5,1.6720000000000003E-4,1.9760000000000014E-4,3.7202150475476535E-5,4.688880463394221E-5,10.0,3.4799999999999935E-4,0.0
4.566180022732349E-5,1.7000000000000004E-4,2.0240000000000007E-4,3.7202150475476535E-5,4.7101592329771605E-5,11.0,3.4799999999999935E-4,0.0
4.643446995498058E-5,1.744E-4,2.0440000000000012E-4,3.8274795884498164E-5,4.674569498895052E-5,12.0,3.495999999999994E-4,0.0
4.627267011962897E-5,1.7560000000000004E-4,2.0680000000000015E-4,3.904663877979772E-5,4.710031847026089E-5,13.0,3.511999999999994E-4,0.0
4.678675026115833E-5,1.7800000000000007E-4,2.100000000000001E-4,3.929834602117494E-5,4.7169905660282976E-5,14.0,3.5159999999999944E-4,0.0
4.692163680009468E-5,1.8120000000000007E-4,2.104000000000001E-4,3.929834602117494E-5,4.7042108796268904E-5,15.0,3.5159999999999944E-4,0.0
4.6854668924238465E-5,1.8160000000000008E-4,2.1240000000000007E-4,3.929834602117494E-5,4.766088543029809E-5,16.0,3.5159999999999944E-4,0.0
4.742826161688833E-5,1.8320000000000006E-4,2.1240000000000007E-4,3.95474398665704E-5,4.766088543029809E-5,17.0,3.5199999999999945E-4,0.0
4.742826161688833E-5,1.8320000000000006E-4,2.1400000000000005E-4,3.9793969392358984E-5,4.754997371187491E-5,18.0,3.5239999999999946E-4,0.0
4.742530969851434E-5,1.8440000000000004E-4,2.1480000000000004E-4,3.9793969392358984E-5,4.790866309969422E-5,19.0,3.5239999999999946E-4,0.0
4.7625203411639155E-5,1.8560000000000007E-4,2.156E-4,4.028697059844536E-5,4.805371993925132E-5,20.0,3.5279999999999947E-4,0.0
4.7968739820845786E-5,1.8600000000000005E-4,2.1720000000000005E-4,4.028697059844536E-5,4.791701159296136E-5,21.0,3.5279999999999947E-4,0.0
4.815641182646401E-5,1.8720000000000005E-4,2.1720000000000005E-4,4.028697059844536E-5,4.791701159296136E-5,22.0,3.5279999999999947E-4,0.0
4.828622992116905E-5,1.8760000000000006E-4,2.1760000000000003E-4,4.028697059844536E-5,4.819294554185292E-5,23.0,3.5279999999999947E-4,0.0
4.799999999999999E-5,1.8800000000000007E-4,2.1880000000000006E-4,4.028697059844536E-5,4.88020491373057E-5,24.0,3.5279999999999947E-4,0.0
4.846276921514085E-5,1.888000000000001E-4,2.1920000000000007E-4,4.028697059844536E-5,4.927311640235478E-5,25.0,3.5279999999999947E-4,0.0
4.846276921514085E-5,1.888000000000001E-4,2.1920000000000007E-4,4.077303030190427E-5,4.927311640235478E-5,26.0,3.531999999999994E-4,0.0
4.846276921514085E-5,1.888000000000001E-4,2.2000000000000006E-4,4.07646906035113E-5,4.939635614091389E-5,27.0,3.5359999999999943E-4,0.0
4.871303726929782E-5,1.896000000000001E-4,2.2000000000000006E-4,4.07646906035113E-5,4.939635614091389E-5,28.0,3.5359999999999943E-4,0.0
4.871303726929782E-5,1.896000000000001E-4,2.2080000000000005E-4,4.07646906035113E-5,4.971760251661374E-5,29.0,3.5359999999999943E-4,0.0
4.85485324186015E-5,1.904000000000001E-4,2.2160000000000005E-4,4.07646906035113E-5,4.943035504626692E-5,30.0,3.5359999999999943E-4,0.0
4.846483261087358E-5,1.9080000000000008E-4,2.2160000000000005E-4,4.1000000000000014E-5,4.943035504626692E-5,31.0,3.5399999999999944E-4,0.0
4.846483261087358E-5,1.9080000000000008E-4,2.2200000000000003E-4,4.1000000000000014E-5,4.9284886121406406E-5,32.0,3.5399999999999944E-4,0.0
4.846483261087358E-5,1.9080000000000008E-4,2.2280000000000002E-4,4.1000000000000014E-5,5.00003999984E-5,33.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2280000000000002E-4,4.1000000000000014E-5,5.00003999984E-5,34.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2320000000000003E-4,4.1000000000000014E-5,5.005437043855418E-5,35.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2320000000000003E-4,4.1000000000000014E-5,5.005437043855418E-5,36.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2320000000000003E-4,4.1000000000000014E-5,5.005437043855418E-5,37.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2320000000000003E-4,4.1000000000000014E-5,5.005437043855418E-5,38.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2320000000000003E-4,4.1000000000000014E-5,5.005437043855418E-5,39.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2360000000000001E-4,4.1000000000000014E-5,4.990751446425681E-5,40.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2400000000000002E-4,4.1000000000000014E-5,4.955804677345545E-5,41.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2400000000000002E-4,4.1000000000000014E-5,4.955804677345545E-5,42.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2400000000000002E-4,4.1000000000000014E-5,4.955804677345545E-5,43.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2400000000000002E-4,4.1000000000000014E-5,4.955804677345545E-5,44.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2400000000000002E-4,4.1000000000000014E-5,4.955804677345545E-5,45.0,3.5399999999999944E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2400000000000002E-4,4.1474811633086446E-5,4.955804677345545E-5,46.0,3.543999999999994E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2400000000000002E-4,4.1474811633086446E-5,4.955804677345545E-5,47.0,3.543999999999994E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2400000000000002E-4,4.1474811633086446E-5,4.955804677345545E-5,48.0,3.543999999999994E-4,0.0
4.931896187066392E-5,1.9160000000000008E-4,2.2400000000000002E-4,4.1474811633086446E-5,4.955804677345545E-5,49.0,3.543999999999994E-4,0.0
4.92341345003647E-5,1.9200000000000006E-4,2.2400000000000002E-4,4.1474811633086446E-5,4.955804677345545E-5,50.0,3.543999999999994E-4,0.0
4.92341345003647E-5,1.9200000000000006E-4,2.2440000000000003E-4,4.1474811633086446E-5,4.961007962098031E-5,51.0,3.543999999999994E-4,0.0
4.92341345003647E-5,1.9200000000000006E-4,2.2440000000000003E-4,4.1474811633086446E-5,4.961007962098031E-5,52.0,3.543999999999994E-4,0.0
4.935139309077304E-5,1.9240000000000007E-4,2.2440000000000003E-4,4.1474811633086446E-5,4.961007962098031E-5,53.0,3.543999999999994E-4,0.0
4.935139309077304E-5,1.9240000000000007E-4,2.2440000000000003E-4,4.1474811633086446E-5,4.961007962098031E-5,54.0,3.543999999999994E-4,0.0
4.935139309077304E-5,1.9240000000000007E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,55.0,3.543999999999994E-4,0.0
4.935139309077304E-5,1.9240000000000007E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,56.0,3.543999999999994E-4,0.0
4.935139309077304E-5,1.9240000000000007E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,57.0,3.543999999999994E-4,0.0
4.935139309077304E-5,1.9240000000000007E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,58.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,59.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,60.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,61.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,62.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,63.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,64.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,65.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,66.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,67.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,68.0,3.543999999999994E-4,0.0
4.987023160162782E-5,1.9280000000000008E-4,2.2480000000000004E-4,4.1474811633086446E-5,5.006236111091844E-5,69.0,3.543999999999994E-4,0.0
