Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.9000000000000038,0.0,0.0,8.131516293641283E-20,0.0,0.0,1.887379141862766E-15,0.09969999999999964,0.0,3.0000000000000014E-4,1.8041124150158794E-16
2.3600000000000008E-5,2.3038229098609077E-5,0.9000000000000038,0.0,7.879999999999983E-5,3.9731096133884784E-5,1.0,0.0,1.887379141862766E-15,0.09969999999999964,3.765156039263183E-5,1.9760000000000014E-4,1.8041124150158794E-16
4.1199999999999985E-5,2.942176065431839E-5,0.9000000000000038,7.279999999999985E-5,3.320000000000001E-5,4.2697072499177195E-5,2.0,3.65381991893416E-5,1.887379141862766E-15,0.09969999999999964,2.7467071194432006E-5,1.5279999999999997E-4,1.8041124150158794E-16
5.039999999999995E-5,3.2938731001664266E-5,0.9000000000000038,9.759999999999978E-5,2.0399999999999998E-5,4.3593118723027836E-5,3.0,3.973109613388479E-5,1.887379141862766E-15,0.09969999999999964,2.0638798414636418E-5,1.3159999999999986E-4,1.8041124150158794E-16
6.159999999999993E-5,3.565613551690654E-5,0.9000000000000038,1.0799999999999977E-4,1.8799999999999993E-5,4.1908948925020815E-5,4.0,4.0049968789001606E-5,1.887379141862766E-15,0.09969999999999964,2.0533874451744398E-5,1.1159999999999974E-4,1.8041124150158794E-16
7.079999999999988E-5,3.790567239873211E-5,0.9000000000000038,1.1439999999999977E-4,1.5199999999999992E-5,4.11091230750548E-5,5.0,4.108722429174311E-5,1.887379141862766E-15,0.09969999999999964,1.9032603605392553E-5,9.959999999999976E-5,1.8041124150158794E-16
7.639999999999984E-5,3.782538829939487E-5,0.9000000000000038,1.1559999999999976E-4,1.92E-5,3.9606060142356935E-5,6.0,4.1099391722992714E-5,1.887379141862766E-15,0.09969999999999964,2.0684293558156615E-5,8.879999999999981E-5,1.8041124150158794E-16
8.27999999999998E-5,3.815809219549633E-5,0.9000000000000038,1.1759999999999974E-4,1.84E-5,3.796893467033277E-5,7.0,4.126208913760911E-5,1.887379141862766E-15,0.09969999999999964,2.086528216919192E-5,8.119999999999982E-5,1.8041124150158794E-16
8.799999999999977E-5,3.826225293941798E-5,0.9000000000000038,1.1759999999999974E-4,1.7999999999999994E-5,3.647958333095375E-5,8.0,4.126208913760911E-5,1.887379141862766E-15,0.09969999999999964,2.0712315177207965E-5,7.639999999999984E-5,1.8041124150158794E-16
9.439999999999975E-5,3.836873727398395E-5,0.9000000000000038,1.1879999999999974E-4,1.599999999999999E-5,3.545193929815407E-5,9.0,4.125093938324306E-5,1.887379141862766E-15,0.09969999999999964,1.939071942966538E-5,7.079999999999989E-5,1.8041124150158794E-16
9.919999999999975E-5,3.92407950989783E-5,0.9000000000000038,1.1879999999999974E-4,1.7199999999999998E-5,3.4208770805160546E-5,10.0,4.125093938324306E-5,1.887379141862766E-15,0.09969999999999964,2.0397058611476354E-5,6.479999999999988E-5,1.8041124150158794E-16
1.0639999999999973E-4,3.859740923948135E-5,0.9000000000000038,1.1879999999999974E-4,1.7599999999999998E-5,3.149666649028113E-5,11.0,4.125093938324306E-5,1.887379141862766E-15,0.09969999999999964,2.0556264252047393E-5,5.71999999999999E-5,1.8041124150158794E-16
1.0879999999999973E-4,3.9250987248730424E-5,0.9000000000000038,1.1879999999999974E-4,1.7199999999999998E-5,3.1276828483719315E-5,12.0,4.125093938324306E-5,1.887379141862766E-15,0.09969999999999964,2.0397058611476354E-5,5.5199999999999905E-5,1.8041124150158794E-16
1.155999999999997E-4,4.0362854210276085E-5,0.9000000000000038,1.1919999999999974E-4,1.6799999999999995E-5,3.007257887178947E-5,13.0,4.108332995267057E-5,1.887379141862766E-15,0.09969999999999964,2.120000000000008E-5,4.839999999999994E-5,1.8041124150158794E-16
1.1999999999999969E-4,4.049691346263325E-5,0.9000000000000038,1.1919999999999974E-4,1.5599999999999993E-5,2.8622368874710597E-5,14.0,4.108332995267057E-5,1.887379141862766E-15,0.09969999999999964,2.071617725353793E-5,4.5199999999999953E-5,1.8041124150158794E-16
1.2479999999999967E-4,4.007792409793698E-5,0.9000000000000038,1.1959999999999974E-4,1.3599999999999993E-5,2.808914381037626E-5,15.0,4.091405626432068E-5,1.887379141862766E-15,0.09969999999999964,1.8808508712813943E-5,4.199999999999998E-5,1.8041124150158794E-16
1.295999999999997E-4,4.099951219222E-5,0.9000000000000038,1.1999999999999973E-4,1.3599999999999992E-5,2.685963514271935E-5,16.0,4.074309757492678E-5,1.887379141862766E-15,0.09969999999999964,1.8269099594670744E-5,3.679999999999999E-5,1.8041124150158794E-16
1.3279999999999979E-4,4.0878356131331846E-5,0.9000000000000038,1.1999999999999973E-4,1.3599999999999992E-5,2.603382415243677E-5,17.0,4.074309757492678E-5,1.887379141862766E-15,0.09969999999999964,1.8269099594670744E-5,3.360000000000002E-5,1.8041124150158794E-16
