Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.1679999999999996,0.0,0.0,4.607859233063394E-19,0.0,0.0,2.0816681711721685E-16,0.8316999999999989,0.0,3.000000000000009E-4,5.551115123125783E-16
1.583333333333334E-5,1.8252663428174597E-5,0.1679999999999996,0.0,9.583333333333331E-5,6.187885790442123E-5,1.0,0.0,2.0816681711721685E-16,0.8316341666666655,3.94735319197842E-5,2.541666666666667E-4,4.004988209165166E-5
3.916666666666666E-5,2.7610258761715504E-5,0.1679999999999996,7.833333333333333E-5,6.500000000000001E-5,8.791469192095002E-5,2.0,3.8288016692200475E-5,2.0816681711721685E-16,0.8315516666666661,3.455068740271317E-5,2.6583333333333325E-4,7.637171524123626E-5
6.250000000000003E-5,3.6550478793033616E-5,0.1679999999999996,1.2083333333333328E-4,6.416666666666668E-5,9.105477594405592E-5,3.0,4.559597630883186E-5,2.0816681711721685E-16,0.831484166666667,4.1731200025347405E-5,2.6833333333333326E-4,9.682368712711209E-5
8.249999999999996E-5,4.5028925888440505E-5,0.1679999999999996,1.5749999999999984E-4,7.416666666666662E-5,1.0650704202070391E-4,4.0,4.409388657550311E-5,2.0816681711721685E-16,0.8314108333333333,5.10293352450878E-5,2.75E-4,1.2809433914979439E-4
1.0499999999999994E-4,4.602988159880492E-5,0.1679999999999996,1.999999999999998E-4,6.500000000000002E-5,1.184968060985424E-4,5.0,5.627314338711375E-5,2.0816681711721685E-16,0.8313458333333332,4.6390552199055966E-5,2.8416666666666667E-4,1.543664246381183E-4
1.2666666666666666E-4,5.428832491634111E-5,0.1679999999999996,2.2833333333333307E-4,6.000000000000001E-5,1.4462535412421834E-4,6.0,5.8160458121380795E-5,2.0816681711721685E-16,0.8312691666666664,4.396968652757637E-5,3.158333333333335E-4,1.9113649500350285E-4
1.449999999999999E-4,5.8754432456907734E-5,0.1679999999999996,2.5583333333333323E-4,7.916666666666663E-5,1.4259438881745036E-4,7.0,6.448379426043584E-5,2.0816681711721685E-16,0.831195833333333,4.7388392273026305E-5,3.2416666666666656E-4,2.178871872985893E-4
1.6916666666666659E-4,6.82507122469958E-5,0.1679999999999996,2.925000000000001E-4,8.250000000000004E-5,1.5677079872646353E-4,8.0,7.279036680770332E-5,2.0816681711721685E-16,0.8311108333333335,5.5775778793307804E-5,3.45E-4,2.552609639608521E-4
1.949999999999999E-4,7.901740314639553E-5,0.1679999999999996,3.241666666666669E-4,9.499999999999996E-5,1.7192537140670464E-4,9.0,8.113667310299468E-5,2.0816681711721685E-16,0.8310258333333334,5.839877281815668E-5,3.600000000000001E-4,2.911540137491195E-4
2.3083333333333322E-4,9.237510336785679E-5,0.1679999999999996,3.6416666666666694E-4,9.833333333333328E-5,1.7585307945997296E-4,10.0,9.371851323096321E-5,2.0816681711721685E-16,0.8309449999999999,6.08903842071052E-5,3.6166666666666677E-4,3.252467012387183E-4
2.608333333333333E-4,1.0068429067579946E-4,0.1679999999999996,4.116666666666669E-4,9.83333333333333E-5,1.8667410699457548E-4,11.0,1.0957937255199487E-4,2.0816681711721685E-16,0.8308625,5.844631915033001E-5,3.6666666666666683E-4,3.5649114645388115E-4
2.9583333333333344E-4,1.1280437220643921E-4,0.1679999999999996,4.541666666666669E-4,1.041666666666666E-4,1.8762727161997429E-4,12.0,1.2262677680216868E-4,2.0816681711721685E-16,0.8307916666666667,6.59532136357955E-5,3.541666666666668E-4,3.8942175793804537E-4
3.283333333333334E-4,1.2652129816315076E-4,0.1679999999999996,4.975000000000003E-4,9.75E-5,2.1566273824345902E-4,13.0,1.3700098843925663E-4,2.0816681711721685E-16,0.8307016666666662,6.372548548265447E-5,3.750000000000002E-4,4.364145264411929E-4
3.5916666666666665E-4,1.3609063054531792E-4,0.1679999999999996,5.316666666666668E-4,1.1083333333333328E-4,2.2481435242340637E-4,14.0,1.524772296297239E-4,2.0816681711721685E-16,0.8306141666666663,7.522073997390762E-5,3.8416666666666693E-4,4.842647275911082E-4
