Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,2.168404344971009E-19,0.0,0.0,3.000000000000004E-4,0.0
0.0,0.0,2.916666666666667E-5,6.596491187567395E-5,2.6922599965250187E-5,1.0,4.847222222222222E-4,0.0
2.2811205146745622E-5,2.3611111111111117E-5,6.527777777777775E-5,1.2211959074794038E-4,4.010379088328032E-5,2.0,7.41666666666667E-4,0.0
2.9917582261858376E-5,4.4444444444444426E-5,1.152777777777778E-4,2.242270674512285E-4,5.1814119042002095E-5,3.0,0.0010999999999999998,0.0
3.8864079387870056E-5,7.500000000000002E-5,1.6805555555555551E-4,4.0693970418172046E-4,6.391530251091461E-5,4.0,0.0016805555555555554,0.0
4.521361336293896E-5,1.0416666666666666E-4,2.444444444444445E-4,6.813643153606693E-4,8.074689918749241E-5,5.0,0.002563888888888888,0.0
5.448623679425842E-5,1.5833333333333324E-4,3.7638888888888894E-4,0.001205683556952724,1.0391404552814161E-4,6.0,0.003994444444444443,0.0
7.160190333872692E-5,2.4305555555555558E-4,5.847222222222224E-4,0.002159966492081203,1.573786398004256E-4,7.0,0.006411111111111109,0.0
1.0921118685067631E-4,3.7500000000000006E-4,8.930555555555557E-4,0.003588764658045068,2.522573626401672E-4,8.0,0.010145833333333331,0.0
1.5588847063775365E-4,5.458333333333335E-4,0.0013361111111111104,0.006017597610278407,4.2232043813807515E-4,9.0,0.016081944444444444,0.0
2.4230339968725156E-4,8.041666666666667E-4,0.002090277777777777,0.00964156663093532,6.934294666037209E-4,10.0,0.02542777777777777,0.0
4.012080282651937E-4,0.0012208333333333329,0.003329166666666667,0.01477320809672482,0.0011540218771997155,11.0,0.039438888888888884,0.0
6.509841641272424E-4,0.001929166666666667,0.005134722222222221,0.02167402891966188,0.0018333363583729247,12.0,0.05984305555555555,0.0
0.00101923533277661,0.002936111111111111,0.008015277777777781,0.030370593816222948,0.002898271272603509,13.0,0.08842499999999999,0.0
0.0016952343331953978,0.004666666666666667,0.01226527777777778,0.04064642141187612,0.004376842149647632,14.0,0.12674027777777774,0.0
0.002638512308656547,0.007209722222222219,0.018215277777777775,0.05161149204032816,0.0062972473027364095,15.0,0.17492638888888884,0.0
0.0038552961308014767,0.010919444444444445,0.026269444444444442,0.06202042412606516,0.008638084434677475,16.0,0.23271805555555553,0.0
0.00540709820827684,0.01596944444444444,0.03728194444444445,0.07100530395755071,0.011378590173328228,17.0,0.2977458333333333,0.0
0.0073784023526103654,0.02316805555555556,0.05074027777777776,0.07774373600267949,0.014279491071410341,18.0,0.36707777777777784,0.0
0.009591557159815084,0.032225000000000004,0.06684166666666666,0.08208754993634826,0.01727571704171944,19.0,0.4377638888888889,0.0
0.011917963216180112,0.043566666666666656,0.08512222222222225,0.08399583560692492,0.020107302816221022,20.0,0.5052583333333334,0.0
0.01423541636177374,0.056654166666666644,0.10538888888888888,0.08394655121067152,0.02269274473439136,21.0,0.5683569444444443,0.0
0.016390878277915757,0.07135694444444442,0.1273513888888888,0.08226690058643735,0.024903939047333512,22.0,0.6247222222222223,0.0
0.01831260818237965,0.08761388888888891,0.14985,0.07966730386471796,0.026633097360239565,23.0,0.6739736111111111,0.0
0.019886148736112382,0.10468194444444447,0.17214305555555554,0.07634562719414038,0.027810898925687104,24.0,0.7161000000000001,0.0
0.021019726001374035,0.12210555555555559,0.19416666666666665,0.07283522952006104,0.02857677402872635,25.0,0.7513986111111111,0.0
0.02178819831783941,0.1396041666666667,0.21528194444444446,0.06912418071255601,0.028898695576084897,26.0,0.7810472222222222,0.0
0.02232125900111958,0.15644444444444444,0.23515416666666664,0.06546563992730706,0.028867421970367877,27.0,0.8057097222222223,0.0
0.022523390608825904,0.1726736111111111,0.25383888888888895,0.062172251011315675,0.02863377298308614,28.0,0.826040277777778,0.0
0.022599809445211623,0.1880472222222222,0.2708000000000001,0.059384276906854744,0.028249929940916074,29.0,0.8427249999999998,0.0
