Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,4.607859233063394E-19,0.0,0.0,3.000000000000009E-4,0.0
0.0,0.0,1.983333333333333E-4,2.4776781245530878E-5,3.7071627365892016E-5,1.0,3.233333333333341E-4,0.0
3.9756201472921886E-5,1.8666666666666666E-4,2.4666666666666695E-4,2.8674417556808764E-5,3.590109871422998E-5,2.0,3.2666666666666743E-4,0.0
3.8514066694304435E-5,2.3000000000000017E-4,2.6916666666666696E-4,3.0686587732536654E-5,3.341396497806799E-5,3.0,3.3000000000000076E-4,0.0
3.705991770093397E-5,2.525000000000003E-4,2.850000000000005E-4,3.2379584617471535E-5,3.0034702151566796E-5,4.0,3.325000000000008E-4,0.0
3.5930101895516814E-5,2.683333333333337E-4,2.958333333333339E-4,3.259334884434074E-5,3.122220986555707E-5,5.0,3.341666666666674E-4,0.0
3.702242188488242E-5,2.7916666666666704E-4,3.025000000000006E-4,3.403174580038789E-5,3.192602125748422E-5,6.0,3.3583333333333403E-4,0.0
3.834918150654875E-5,2.858333333333338E-4,3.083333333333339E-4,3.403174580038789E-5,3.067527053217661E-5,7.0,3.3583333333333403E-4,0.0
3.7960139913101256E-5,2.916666666666672E-4,3.116666666666673E-4,3.403174580038789E-5,3.1080093664952504E-5,8.0,3.3583333333333403E-4,0.0
3.864906208435075E-5,2.950000000000005E-4,3.116666666666673E-4,3.403174580038789E-5,3.1080093664952504E-5,9.0,3.3583333333333403E-4,0.0
3.864906208435075E-5,2.950000000000005E-4,3.13333333333334E-4,3.41158158174312E-5,3.22317993430229E-5,10.0,3.366666666666674E-4,0.0
3.922867431979939E-5,2.966666666666672E-4,3.13333333333334E-4,3.479852726768763E-5,3.22317993430229E-5,11.0,3.375000000000007E-4,0.0
3.922867431979939E-5,2.966666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,12.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,13.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,14.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,15.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,16.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,17.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,18.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,19.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,20.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,21.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,22.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,23.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,24.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,25.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,26.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,27.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,28.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,29.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,30.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,31.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,32.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,33.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,34.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,35.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,36.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,37.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,38.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,39.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,40.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,41.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,42.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,43.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,44.0,3.375000000000007E-4,0.0
4.00498820916561E-5,2.991666666666672E-4,3.158333333333339E-4,3.479852726768763E-5,3.415396105220528E-5,45.0,3.375000000000007E-4,0.0
