Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.650000000000003,0.0,0.0,8.131516293641283E-20,0.0,0.0,1.4988010832439613E-15,0.3496999999999989,0.0,3.0000000000000014E-4,5.551115123125783E-16
1.9600000000000002E-5,2.2225210910135387E-5,0.650000000000003,0.0,6.959999999999989E-5,4.746198478782785E-5,1.0,0.0,1.4988010832439613E-15,0.34968199999999916,3.5902089075707045E-5,2.2880000000000025E-4,2.022374841615552E-5
4.119999999999997E-5,3.075126013678135E-5,0.650000000000003,6.559999999999993E-5,4.2000000000000004E-5,5.073420936606779E-5,2.0,3.527265229607781E-5,1.4988010832439613E-15,0.34967079999999917,2.9137604568666914E-5,1.8040000000000016E-4,2.677386785654954E-5
5.599999999999992E-5,3.3999999999999966E-5,0.650000000000003,1.0439999999999973E-4,2.6800000000000018E-5,5.351635264103867E-5,3.0,3.8015260093809704E-5,1.4988010832439613E-15,0.3496607999999993,2.550372521809319E-5,1.5200000000000006E-4,3.2493691695466985E-5
6.91999999999999E-5,3.758776396648247E-5,0.650000000000003,1.3039999999999978E-4,2.7200000000000014E-5,5.2999999999999994E-5,4.0,4.18205691018188E-5,1.4988010832439613E-15,0.3496511999999993,2.4800000000000023E-5,1.2199999999999983E-4,3.666933323637286E-5
7.839999999999987E-5,4.029094191006211E-5,0.650000000000003,1.5599999999999994E-4,2.480000000000001E-5,5.0663201635901334E-5,5.0,4.2379240200834194E-5,1.4988010832439613E-15,0.3496443999999993,2.3371777852786482E-5,9.639999999999989E-5,4.0708230126108244E-5
8.639999999999984E-5,4.282242403227544E-5,0.650000000000003,1.796000000000001E-4,1.519999999999999E-5,4.638792946446305E-5,6.0,4.4339147488421524E-5,1.4988010832439613E-15,0.34963959999999933,1.7951044537853543E-5,7.919999999999989E-5,4.3565582746019355E-5
8.99999999999998E-5,4.3874821936960626E-5,0.650000000000003,1.9360000000000015E-4,1.5599999999999993E-5,4.3510458512867866E-5,7.0,4.614932285527058E-5,1.4988010832439613E-15,0.3496363999999994,1.9213536894595968E-5,6.439999999999994E-5,4.537356058323235E-5
9.55999999999998E-5,4.544403151129962E-5,0.650000000000003,2.0840000000000024E-4,9.999999999999999E-6,4.0792156108742224E-5,8.0,4.745903496701125E-5,1.4988010832439613E-15,0.34963399999999945,1.6278820596099727E-5,5.199999999999995E-5,4.648655719668062E-5
9.83999999999998E-5,4.581877344495372E-5,0.650000000000003,2.1800000000000028E-4,9.6E-6,3.755742270177763E-5,9.0,4.887739763939982E-5,1.4988010832439613E-15,0.3496315999999995,1.4729562111617556E-5,4.239999999999997E-5,4.7753115081639187E-5
