Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.0,0.0,0.0,4.607859233063394E-19,0.0,0.0,0.0,0.9997000000000013,0.0,3.000000000000009E-4,6.106226635438361E-16
1.7500000000000002E-5,2.006499854639086E-5,0.9000000000000017,0.0,7.583333333333332E-5,8.291143199556716E-5,1.0,0.0,8.326672684688674E-16,0.09953833333333348,3.76363262760269E-5,3.683333333333334E-4,6.74485400550334E-5
4.916666666666668E-5,3.095415516893046E-5,0.9000000000000017,6.500000000000001E-5,6.833333333333337E-5,7.56625824888953E-5,2.0,3.631459761583491E-5,8.326672684688674E-16,0.09952166666666679,3.707162736589208E-5,2.958333333333332E-4,7.25095779113958E-5
6.583333333333335E-5,3.62260457252636E-5,0.9000000000000017,1.0499999999999994E-4,5.3333333333333354E-5,7.282851814746436E-5,3.0,4.274439534410717E-5,8.326672684688674E-16,0.0995150000000001,3.2871804872193367E-5,2.6083333333333335E-4,7.545694136393219E-5
8.416666666666663E-5,4.232603283507158E-5,0.9000000000000017,1.1833333333333326E-4,5.583333333333333E-5,7.239815643754718E-5,4.0,4.231987975198203E-5,8.326672684688674E-16,0.09951083333333345,3.5234827309858615E-5,2.3083333333333322E-4,7.632055023968826E-5
9.916666666666658E-5,4.401507002026566E-5,0.9000000000000017,1.3666666666666658E-4,5.333333333333337E-5,6.796138609534096E-5,5.0,4.374801582802224E-5,8.326672684688674E-16,0.09950583333333343,3.531603350069512E-5,2.0499999999999994E-4,7.699995490619115E-5
1.1666666666666657E-4,5.096294950473557E-5,0.9000000000000017,1.508333333333332E-4,4.9166666666666685E-5,6.780281868935997E-5,6.0,4.5182884542219705E-5,8.326672684688674E-16,0.0995000000000001,3.162003144984032E-5,1.833333333333332E-4,7.691987172809486E-5
1.291666666666666E-4,5.2597462444071966E-5,0.9000000000000017,1.6333333333333317E-4,4.5E-5,6.629977166040789E-5,7.0,5.07991688470939E-5,8.326672684688674E-16,0.09949666666666675,3.2177890960513036E-5,1.6583333333333324E-4,7.877534865397578E-5
1.4583333333333318E-4,5.5488675020724295E-5,0.9000000000000017,1.666666666666665E-4,4.4166666666666665E-5,6.258189079562521E-5,8.0,4.9721446300587694E-5,8.326672684688674E-16,0.09949250000000007,3.0819253542045605E-5,1.508333333333332E-4,8.16911102874718E-5
1.5666666666666655E-4,5.7276134258131913E-5,0.9000000000000017,1.7749999999999984E-4,3.583333333333332E-5,5.8160458121380755E-5,9.0,4.850365106532362E-5,8.326672684688674E-16,0.09949166666666674,2.7984991017011606E-5,1.3833333333333322E-4,8.205265924324918E-5
1.649999999999999E-4,5.6880723155271705E-5,0.9000000000000017,1.816666666666666E-4,3.0833333333333315E-5,5.956876278721927E-5,10.0,4.829740043614033E-5,8.326672684688674E-16,0.09949000000000008,2.5654623798103594E-5,1.324999999999999E-4,8.376554582085975E-5
1.783333333333332E-4,6.231082481310042E-5,0.9000000000000017,1.8416666666666657E-4,2.7499999999999984E-5,5.924876932617816E-5,11.0,4.830279207480887E-5,8.326672684688674E-16,0.09948500000000006,2.4968730444297725E-5,1.2499999999999992E-4,8.627716963368638E-5
1.941666666666666E-4,6.367097498511827E-5,0.9000000000000017,1.8583333333333318E-4,2.5833333333333322E-5,5.484194461257627E-5,12.0,4.886027413849504E-5,8.326672684688674E-16,0.09948250000000007,2.2817969283488452E-5,1.1166666666666658E-4,8.819072608084464E-5
2.016666666666666E-4,6.356864181514522E-5,0.9000000000000017,1.891666666666665E-4,2.416666666666666E-5,5.471517157059826E-5,13.0,4.9073004006502584E-5,8.326672684688674E-16,0.09948000000000005,2.414870021807017E-5,1.0499999999999992E-4,8.958236433584398E-5
2.083333333333333E-4,6.601241465731192E-5,0.9000000000000017,1.9249999999999985E-4,2.1666666666666667E-5,5.101572470000471E-5,14.0,5.048205126577165E-5,8.326672684688674E-16,0.09948000000000005,2.343726851737537E-5,9.749999999999996E-5,8.958236433584398E-5
2.183333333333333E-4,7.041050268879562E-5,0.9000000000000017,1.9333333333333317E-4,1.7500000000000002E-5,4.743233484542889E-5,15.0,5.0717080182343095E-5,8.326672684688674E-16,0.09948000000000005,2.1077733116569576E-5,9.08333333333333E-5,8.958236433584398E-5
